reference_organ,as_label,cell_label,cell_id
Heart,heart left ventricle,EC8_ln,CL:0002138
Heart,heart left ventricle,EC4_immune,CL:0000115
Heart,heart left ventricle,CD4+T_act,CL:0001043
Heart,heart left ventricle,EC7_endocardial,CL:0002350
Heart,heart left ventricle,Adip1,CL:0000136
Heart,heart left ventricle,SMC1_basic,CL:0000359
Heart,heart left ventricle,CD8+T_em,CL:0000913
Heart,heart left ventricle,NK_CD56hi,CL:0000938
Heart,heart left ventricle,CD8+T_cytox,CL:0000794
Heart,heart left ventricle,MAIT-like,CL:0000791
Heart,heart left ventricle,B_plasma,CL:0000786
Heart,heart right ventricle,FB4_activated,CL:0000057
Heart,heart right ventricle,CD8+T_cytox,CL:0000794
Heart,interventricular septum,Ventricular Cardiomycoyte,CL:0002131
Heart,interventricular septum,Monocyte/cDC,CL:0011031
Heart,interventricular septum,Fibroblast,CL:0000057
Heart,interventricular septum,Capillary Endothelial,CL:0002144
Heart,interventricular septum,Pericyte,CL:0000669
Heart,interventricular septum,Arterial Endothelial,CL:1000413
Heart,interventricular septum,B,CL:0000236
Heart,interventricular septum,Macrophage,CL:0000235
Heart,interventricular septum,Atrial Cardiomyocyte,CL:0002129
Heart,interventricular septum,Venous Endothelial,CL:1000414
Heart,interventricular septum,Mast,CL:0000097
Heart,interventricular septum,T,CL:0000084
Heart,interventricular septum,Endocardial,CL:0002350
Heart,interventricular septum,NK,CL:0000623
Heart,interventricular septum,Mesothelial,CL:0000077
Heart,interventricular septum,Endothelial,CL:0000115
Heart,interventricular septum,Smooth Muscle,CL:0000192
Heart,interventricular septum,Neuronal,CL:0002573
Heart,interventricular septum,Lymphatic Endothelial,CL:0002138
Heart,interventricular septum,Adipocyte,CL:0000136
Heart,interventricular septum,PC1_vent,CL:0000669
Heart,interventricular septum,FB4_activated,CL:0000057
Heart,interventricular septum,EC1_cap,CL:0002144
Heart,interventricular septum,LYVE1+IGF1+MP,CL:0000235
Heart,interventricular septum,vCM1,CL:0002131
Heart,interventricular septum,aCM1,CL:0002129
Heart,interventricular septum,CD16+Mo,CL:0002396
Heart,interventricular septum,EC6_ven,CL:0002543
Heart,interventricular septum,CD14+Mo,CL:0002057
Heart,interventricular septum,NC1_glial,CL:0010020
Heart,interventricular septum,DC,CL:0000451
Heart,interventricular septum,CD4+T_naive,CL:0000895
Heart,interventricular septum,EC5_art,CL:1000413
Heart,interventricular septum,CD8+T_trans,CL:0000625
Heart,interventricular septum,NK_CD16hi,CL:0000939
Heart,interventricular septum,EC8_ln,CL:0002138
Heart,interventricular septum,EC4_immune,CL:0000115
Heart,interventricular septum,CD4+T_act,CL:0001043
Heart,interventricular septum,EC7_endocardial,CL:0002350
Heart,interventricular septum,Adip1,CL:0000136
Heart,interventricular septum,SMC1_basic,CL:0000359
Heart,interventricular septum,CD8+T_em,CL:0000913
Heart,interventricular septum,NK_CD56hi,CL:0000938
Heart,interventricular septum,CD8+T_cytox,CL:0000794
Heart,interventricular septum,MAIT-like,CL:0000791
Heart,interventricular septum,B_plasma,CL:0000786
Heart,heart left ventricle,CD8+T_te,CL:0001050
Colon,descending colon,Cycling plasma cell,ASCTB-TEMP:cycling-plasma-cell
Colon,descending colon,Mesoderm 1 (HAND1+),ASCTB-TEMP:mesoderm-1-hand1-
Colon,descending colon,Goblet cell,ASCTB-TEMP:goblet-cell
Colon,descending colon,LEC1 (ACKR4+),ASCTB-TEMP:lec1-ackr4-
Colon,descending colon,Microfold cell,ASCTB-TEMP:microfold-cell
Colon,descending colon,Pre-B,ASCTB-TEMP:pre-b
Colon,descending colon,Transitional Stromal 3 (C3+),ASCTB-TEMP:transitional-stromal-3-c3-
Colon,descending colon,Branch B1 (eMN),ASCTB-TEMP:branch-b1-emn-
Colon,descending colon,EECs,ASCTB-TEMP:eecs
Colon,descending colon,Cycling B cell,ASCTB-TEMP:cycling-b-cell
Colon,descending colon,TA,ASCTB-TEMP:ta
Colon,descending colon,CLDN10+ cells,ASCTB-TEMP:cldn10-cells
Colon,descending colon,Mature venous EC,ASCTB-TEMP:mature-venous-ec
Colon,descending colon,Stem cells,ASCTB-TEMP:stem-cells
Colon,descending colon,Branch A1 (iMN),ASCTB-TEMP:branch-a1-imn-
Colon,descending colon,SMC (PLPP2+),ASCTB-TEMP:smc-plpp2-
Colon,descending colon,TRGV4 gdT,ASCTB-TEMP:trgv4-gdt
Colon,descending colon,STAT1+ Naive B,ASCTB-TEMP:stat1-naive-b
Colon,descending colon,Activated T,ASCTB-TEMP:activated-t
Colon,descending colon,BEST4+ epithelial,ASCTB-TEMP:best4-epithelial
Colon,descending colon,arterial capillary,ASCTB-TEMP:arterial-capillary
Colon,descending colon,RBC,ASCTB-TEMP:rbc
Colon,descending colon,mLTo,ASCTB-TEMP:mlto
Colon,descending colon,Tfh,ASCTB-TEMP:tfh
Colon,descending colon,BEST2+ Goblet cell,ASCTB-TEMP:best2-goblet-cell
Colon,descending colon,D cells (SST+),ASCTB-TEMP:d-cells-sst-
Colon,descending colon,Proximal progenitor,ASCTB-TEMP:proximal-progenitor
Colon,descending colon,SELL+ CD8 T,ASCTB-TEMP:sell-cd8-t
Colon,descending colon,ILCP,ASCTB-TEMP:ilcp
Colon,descending colon,Adult Glia,ASCTB-TEMP:adult-glia
Colon,descending colon,Mesothelium (RGS5+),ASCTB-TEMP:mesothelium-rgs5-
Colon,descending colon,Colonocyte,ASCTB-TEMP:colonocyte
Colon,descending colon,cDC2,ASCTB-TEMP:cdc2
Colon,descending colon,Glia 3 (BCAN+),ASCTB-TEMP:glia-3-bcan-
Colon,descending colon,cDC1,ASCTB-TEMP:cdc1
Colon,descending colon,myofibroblast,ASCTB-TEMP:myofibroblast
Colon,descending colon,CLC+ Mast cell,ASCTB-TEMP:clc-mast-cell
Colon,descending colon,SELL+ CD4 T,ASCTB-TEMP:sell-cd4-t
Colon,descending colon,LEC6 (ADAMTS4+),ASCTB-TEMP:lec6-adamts4-
Colon,descending colon,Branch B3 (IPAN),ASCTB-TEMP:branch-b3-ipan-
Colon,descending colon,Contractile pericyte (PLN+),ASCTB-TEMP:contractile-pericyte-pln-
Colon,descending colon,MAIT cell,ASCTB-TEMP:mait-cell
Colon,descending colon,Monocytes,ASCTB-TEMP:monocytes
Colon,descending colon,FDC,ASCTB-TEMP:fdc
Colon,descending colon,Pro-B,ASCTB-TEMP:pro-b
Colon,descending colon,Macrophages,ASCTB-TEMP:macrophages
Colon,descending colon,Branch A2 (IPAN/IN),ASCTB-TEMP:branch-a2-ipan-in-
Colon,descending colon,Megakaryocyte,ASCTB-TEMP:megakaryocyte
Colon,descending colon,Paneth,ASCTB-TEMP:paneth
Colon,descending colon,NK cell,ASCTB-TEMP:nk-cell
Colon,descending colon,K cells (GIP+),ASCTB-TEMP:k-cells-gip-
Colon,descending colon,Glia 2 (ELN+),ASCTB-TEMP:glia-2-eln-
Colon,descending colon,Progenitor (NEUROG3+),ASCTB-TEMP:progenitor-neurog3-
Colon,descending colon,myofibroblast (RSPO2+),ASCTB-TEMP:myofibroblast-rspo2-
Colon,descending colon,T reticular,ASCTB-TEMP:t-reticular
Colon,descending colon,Tuft,ASCTB-TEMP:tuft
Colon,descending colon,Fetal arterial EC,ASCTB-TEMP:fetal-arterial-ec
Colon,descending colon,LEC4 (STAB2+),ASCTB-TEMP:lec4-stab2-
Colon,descending colon,L cells (PYY+),ASCTB-TEMP:l-cells-pyy-
Colon,descending colon,Fetal venous EC,ASCTB-TEMP:fetal-venous-ec
Colon,descending colon,ILC3,ASCTB-TEMP:ilc3
Colon,descending colon,NK T cell,ASCTB-TEMP:nk-t-cell
Colon,descending colon,Branch A4 (IN),ASCTB-TEMP:branch-a4-in-
Colon,descending colon,Mast cell,ASCTB-TEMP:mast-cell
Colon,descending colon,Germ,ASCTB-TEMP:germ
Colon,descending colon,Stromal 2 (CH25H+),ASCTB-TEMP:stromal-2-ch25h-
Colon,descending colon,Mature arterial EC,ASCTB-TEMP:mature-arterial-ec
Colon,descending colon,IgG plasma cell,ASCTB-TEMP:igg-plasma-cell
Colon,descending colon,MMP9+ Inflammatory macrophage,ASCTB-TEMP:mmp9-inflammatory-macrophage
Colon,descending colon,LTi-like NCR+ ILC3,ASCTB-TEMP:lti-like-ncr-ilc3
Colon,descending colon,angiogenic pericyte,ASCTB-TEMP:angiogenic-pericyte
Colon,descending colon,mLN Stroma (FMO2+),ASCTB-TEMP:mln-stroma-fmo2-
Colon,descending colon,Enterocyte,ASCTB-TEMP:enterocyte
Colon,descending colon,Naive B,ASCTB-TEMP:naive-b
Colon,descending colon,Pericyte,ASCTB-TEMP:pericyte
Colon,descending colon,Lymphoid DC,ASCTB-TEMP:lymphoid-dc
Colon,descending colon,CLP,ASCTB-TEMP:clp
Colon,descending colon,Branch A3 (IPAN/IN),ASCTB-TEMP:branch-a3-ipan-in-
Colon,descending colon,EC cells (NPW+),ASCTB-TEMP:ec-cells-npw-
Colon,descending colon,ILC2,ASCTB-TEMP:ilc2
Colon,descending colon,Neuroblast,ASCTB-TEMP:neuroblast
Colon,descending colon,CD8 Tmem,ASCTB-TEMP:cd8-tmem
Colon,descending colon,enterocyte of epithelium of large intestine,CL:0002071
Colon,descending colon,large intestine goblet cell,CL:1000320
Colon,descending colon,paneth cell of colon,CL:0009009
Colon,descending colon,"CD4-positive, alpha-beta T cell",CL:0000624
Colon,descending colon,intestinal tuft cell,CL:0019032
Colon,descending colon,B cell,CL:0000236
Colon,descending colon,gut endothelial cell,CL:0000131
Colon,descending colon,monocyte,CL:0000576
Colon,descending colon,fibroblast,CL:0000057
Colon,descending colon,"CD8-positive, alpha-beta T cell",CL:0000625
SmallIntestine,distal part of ileum,Cycling plasma cell,ASCTB-TEMP:cycling-plasma-cell
SmallIntestine,distal part of ileum,Mesoderm 1 (HAND1+),ASCTB-TEMP:mesoderm-1-hand1-
SmallIntestine,distal part of ileum,EECs,ASCTB-TEMP:eecs
SmallIntestine,distal part of ileum,Goblet cell,ASCTB-TEMP:goblet-cell
SmallIntestine,distal part of ileum,CLDN10+ cells,ASCTB-TEMP:cldn10-cells
SmallIntestine,distal part of ileum,arterial capillary,ASCTB-TEMP:arterial-capillary
SmallIntestine,distal part of ileum,Activated T,ASCTB-TEMP:activated-t
SmallIntestine,distal part of ileum,Paneth,ASCTB-TEMP:paneth
SmallIntestine,distal part of ileum,D cells (SST+),ASCTB-TEMP:d-cells-sst-
SmallIntestine,distal part of ileum,Mesothelium (RGS5+),ASCTB-TEMP:mesothelium-rgs5-
SmallIntestine,distal part of ileum,Branch B2 (eMN),ASCTB-TEMP:branch-b2-emn-
SmallIntestine,distal part of ileum,Enterocyte,ASCTB-TEMP:enterocyte
SmallIntestine,distal part of ileum,BEST2+ Goblet cell,ASCTB-TEMP:best2-goblet-cell
SmallIntestine,distal part of ileum,Colonocyte,ASCTB-TEMP:colonocyte
SmallIntestine,distal part of ileum,cDC2,ASCTB-TEMP:cdc2
SmallIntestine,distal part of ileum,SELL+ CD8 T,ASCTB-TEMP:sell-cd8-t
SmallIntestine,distal part of ileum,Megakaryocyte,ASCTB-TEMP:megakaryocyte
SmallIntestine,distal part of ileum,Cycling B cell,ASCTB-TEMP:cycling-b-cell
SmallIntestine,distal part of ileum,Tuft,ASCTB-TEMP:tuft
SmallIntestine,distal part of ileum,LEC6 (ADAMTS4+),ASCTB-TEMP:lec6-adamts4-
SmallIntestine,distal part of ileum,Branch A2 (IPAN/IN),ASCTB-TEMP:branch-a2-ipan-in-
SmallIntestine,distal part of ileum,LEC1 (ACKR4+),ASCTB-TEMP:lec1-ackr4-
SmallIntestine,distal part of ileum,Proximal progenitor,ASCTB-TEMP:proximal-progenitor
SmallIntestine,distal part of ileum,Contractile pericyte (PLN+),ASCTB-TEMP:contractile-pericyte-pln-
SmallIntestine,distal part of ileum,cycling EC,ASCTB-TEMP:cycling-ec
SmallIntestine,distal part of ileum,Pro-B,ASCTB-TEMP:pro-b
SmallIntestine,distal part of ileum,Lymphoid DC,ASCTB-TEMP:lymphoid-dc
SmallIntestine,distal part of ileum,TRGV2 gdT,ASCTB-TEMP:trgv2-gdt
SmallIntestine,distal part of ileum,Mature arterial EC,ASCTB-TEMP:mature-arterial-ec
SmallIntestine,distal part of ileum,CLC+ Mast cell,ASCTB-TEMP:clc-mast-cell
SmallIntestine,distal part of ileum,Glia 2 (ELN+),ASCTB-TEMP:glia-2-eln-
SmallIntestine,distal part of ileum,L cells (PYY+),ASCTB-TEMP:l-cells-pyy-
SmallIntestine,distal part of ileum,Transitional Stromal 3 (C3+),ASCTB-TEMP:transitional-stromal-3-c3-
SmallIntestine,distal part of ileum,CLP,ASCTB-TEMP:clp
SmallIntestine,distal part of ileum,Stem cells,ASCTB-TEMP:stem-cells
SmallIntestine,distal part of ileum,TA,ASCTB-TEMP:ta
SmallIntestine,distal part of ileum,mLTo,ASCTB-TEMP:mlto
SmallIntestine,distal part of ileum,SMC (PLPP2+),ASCTB-TEMP:smc-plpp2-
SmallIntestine,distal part of ileum,Progenitor (NEUROG3+),ASCTB-TEMP:progenitor-neurog3-
SmallIntestine,distal part of ileum,MMP9+ Inflammatory macrophage,ASCTB-TEMP:mmp9-inflammatory-macrophage
SmallIntestine,distal part of ileum,Branch B3 (IPAN),ASCTB-TEMP:branch-b3-ipan-
SmallIntestine,distal part of ileum,NK cell,ASCTB-TEMP:nk-cell
SmallIntestine,distal part of ileum,Branch A1 (iMN),ASCTB-TEMP:branch-a1-imn-
SmallIntestine,distal part of ileum,Tfh,ASCTB-TEMP:tfh
SmallIntestine,distal part of ileum,Adult Glia,ASCTB-TEMP:adult-glia
SmallIntestine,distal part of ileum,Macrophages,ASCTB-TEMP:macrophages
SmallIntestine,distal part of ileum,Pre-B,ASCTB-TEMP:pre-b
SmallIntestine,distal part of ileum,SELL+ CD4 T,ASCTB-TEMP:sell-cd4-t
SmallIntestine,distal part of ileum,Fetal arterial EC,ASCTB-TEMP:fetal-arterial-ec
SmallIntestine,distal part of ileum,I cells (CCK+),ASCTB-TEMP:i-cells-cck-
SmallIntestine,distal part of ileum,CD8 Tmem,ASCTB-TEMP:cd8-tmem
SmallIntestine,distal part of ileum,N cells (NTS+),ASCTB-TEMP:n-cells-nts-
SmallIntestine,distal part of ileum,BEST4+ epithelial,ASCTB-TEMP:best4-epithelial
SmallIntestine,distal part of ileum,Glia 3 (BCAN+),ASCTB-TEMP:glia-3-bcan-
SmallIntestine,distal part of ileum,Stromal 4 (MMP1+),ASCTB-TEMP:stromal-4-mmp1-
SmallIntestine,distal part of ileum,TRGV4 gdT,ASCTB-TEMP:trgv4-gdt
SmallIntestine,distal part of ileum,Monocytes,ASCTB-TEMP:monocytes
SmallIntestine,distal part of ileum,EC cells (NPW+),ASCTB-TEMP:ec-cells-npw-
SmallIntestine,distal part of ileum,ILCP,ASCTB-TEMP:ilcp
SmallIntestine,distal part of ileum,cDC1,ASCTB-TEMP:cdc1
SmallIntestine,distal part of ileum,Treg,ASCTB-TEMP:treg
SmallIntestine,distal part of ileum,Pericyte,ASCTB-TEMP:pericyte
SmallIntestine,distal part of ileum,LEC4 (STAB2+),ASCTB-TEMP:lec4-stab2-
SmallIntestine,distal part of ileum,venous capillary,ASCTB-TEMP:venous-capillary
SmallIntestine,distal part of ileum,STAT1+ Naive B,ASCTB-TEMP:stat1-naive-b
SmallIntestine,distal part of ileum,Branch B1 (eMN),ASCTB-TEMP:branch-b1-emn-
SmallIntestine,distal part of ileum,myofibroblast,ASCTB-TEMP:myofibroblast
SmallIntestine,distal part of ileum,cycling ENCC/glia,ASCTB-TEMP:cycling-encc-glia
SmallIntestine,distal part of ileum,Mesothelium (PRG4+),ASCTB-TEMP:mesothelium-prg4-
SmallIntestine,distal part of ileum,Microfold cell,ASCTB-TEMP:microfold-cell
SmallIntestine,distal part of ileum,mLN Stroma (FMO2+),ASCTB-TEMP:mln-stroma-fmo2-
SmallIntestine,distal part of ileum,Mast cell,ASCTB-TEMP:mast-cell
SmallIntestine,distal part of ileum,LTi-like NCR+ ILC3,ASCTB-TEMP:lti-like-ncr-ilc3
SmallIntestine,distal part of ileum,TRDV2/TRGV9 gdT,ASCTB-TEMP:trdv2-trgv9-gdt
SmallIntestine,distal part of ileum,β cells (INS+),ASCTB-TEMP:-cells-ins-
SmallIntestine,distal part of ileum,DZ GC cell,ASCTB-TEMP:dz-gc-cell
SmallIntestine,distal part of ileum,FDC,ASCTB-TEMP:fdc
SmallIntestine,distal part of ileum,Stromal 3 (KCNN3+),ASCTB-TEMP:stromal-3-kcnn3-
SmallIntestine,distal part of ileum,Mature venous EC,ASCTB-TEMP:mature-venous-ec
SmallIntestine,distal part of ileum,NK T cell,ASCTB-TEMP:nk-t-cell
SmallIntestine,distal part of ileum,pDC,ASCTB-TEMP:pdc
SmallIntestine,distal part of ileum,Germ,ASCTB-TEMP:germ
SmallIntestine,distal part of ileum,Immature pericyte,ASCTB-TEMP:immature-pericyte
SmallIntestine,distal part of ileum,Naive B,ASCTB-TEMP:naive-b
SmallIntestine,distal part of ileum,myofibroblast (RSPO2+),ASCTB-TEMP:myofibroblast-rspo2-
SmallIntestine,distal part of ileum,Stromal 2 (CH25H+),ASCTB-TEMP:stromal-2-ch25h-
SmallIntestine,distal part of ileum,angiogenic pericyte,ASCTB-TEMP:angiogenic-pericyte
SmallIntestine,distal part of ileum,MAIT cell,ASCTB-TEMP:mait-cell
SmallIntestine,distal part of ileum,Branch A4 (IN),ASCTB-TEMP:branch-a4-in-
SmallIntestine,distal part of ileum,Th1,ASCTB-TEMP:th1
SmallIntestine,distal part of ileum,Branch A3 (IPAN/IN),ASCTB-TEMP:branch-a3-ipan-in-
SmallIntestine,distal part of ileum,K cells (GIP+),ASCTB-TEMP:k-cells-gip-
SmallIntestine,distal part of ileum,RBC,ASCTB-TEMP:rbc
SmallIntestine,distal part of ileum,enterocyte of epithelium of small intestine,CL:1000334
SmallIntestine,distal part of ileum,small intestine goblet cell,CL:1000495
SmallIntestine,distal part of ileum,gut endothelial cell,CL:0000131
SmallIntestine,distal part of ileum,paneth cell of epithelium of small intestine,CL:1000343
SmallIntestine,distal part of ileum,intestinal tuft cell,CL:0009080
SmallIntestine,distal part of ileum,"CD8-positive, alpha-beta T cell",CL:0000625
SmallIntestine,distal part of ileum,neutrophil,CL:0000775
Colon,sigmoid colon,Cycling plasma cell,ASCTB-TEMP:cycling-plasma-cell
Colon,sigmoid colon,TA,ASCTB-TEMP:ta
Colon,sigmoid colon,EECs,ASCTB-TEMP:eecs
Colon,sigmoid colon,Mesoderm 1 (HAND1+),ASCTB-TEMP:mesoderm-1-hand1-
Colon,sigmoid colon,Activated T,ASCTB-TEMP:activated-t
Colon,sigmoid colon,Proximal progenitor,ASCTB-TEMP:proximal-progenitor
Colon,sigmoid colon,Tuft,ASCTB-TEMP:tuft
Colon,sigmoid colon,pDC,ASCTB-TEMP:pdc
Colon,sigmoid colon,SELL+ CD8 T,ASCTB-TEMP:sell-cd8-t
Colon,sigmoid colon,Cycling B cell,ASCTB-TEMP:cycling-b-cell
Colon,sigmoid colon,Branch B1 (eMN),ASCTB-TEMP:branch-b1-emn-
Colon,sigmoid colon,myofibroblast (RSPO2+),ASCTB-TEMP:myofibroblast-rspo2-
Colon,sigmoid colon,ILCP,ASCTB-TEMP:ilcp
Colon,sigmoid colon,LZ GC cell,ASCTB-TEMP:lz-gc-cell
Colon,sigmoid colon,Goblet cell,ASCTB-TEMP:goblet-cell
Colon,sigmoid colon,Stem cells,ASCTB-TEMP:stem-cells
Colon,sigmoid colon,angiogenic pericyte,ASCTB-TEMP:angiogenic-pericyte
Colon,sigmoid colon,Contractile pericyte (PLN+),ASCTB-TEMP:contractile-pericyte-pln-
Colon,sigmoid colon,Microfold cell,ASCTB-TEMP:microfold-cell
Colon,sigmoid colon,TRGV4 gdT,ASCTB-TEMP:trgv4-gdt
Colon,sigmoid colon,mLN Stroma (FMO2+),ASCTB-TEMP:mln-stroma-fmo2-
Colon,sigmoid colon,cDC2,ASCTB-TEMP:cdc2
Colon,sigmoid colon,myofibroblast,ASCTB-TEMP:myofibroblast
Colon,sigmoid colon,Glia 3 (BCAN+),ASCTB-TEMP:glia-3-bcan-
Colon,sigmoid colon,Stromal 3 (KCNN3+),ASCTB-TEMP:stromal-3-kcnn3-
Colon,sigmoid colon,Colonocyte,ASCTB-TEMP:colonocyte
Colon,sigmoid colon,STAT1+ Naive B,ASCTB-TEMP:stat1-naive-b
Colon,sigmoid colon,BEST4+ epithelial,ASCTB-TEMP:best4-epithelial
Colon,sigmoid colon,LTi-like NCR- ILC3,ASCTB-TEMP:lti-like-ncr-ilc3
Colon,sigmoid colon,Branch B3 (IPAN),ASCTB-TEMP:branch-b3-ipan-
Colon,sigmoid colon,mLTo,ASCTB-TEMP:mlto
