donor_age,unique_dataset_id
37.0,http://purl.org/ccf/APAP5#TissueBlock1_TissueBlock1_Dataset2
45.0,http://purl.org/ccf/APAP6#TissueBlock1_TissueBlock1_Dataset1
45.0,http://purl.org/ccf/APAP6#TissueBlock1_TissueBlock1_Dataset2
48.0,http://purl.org/ccf/APAP7#TissueBlock1_TissueBlock1_Dataset1
48.0,http://purl.org/ccf/APAP7#TissueBlock1_TissueBlock1_Dataset2
46.0,http://purl.org/ccf/APAP8#TissueBlock1_TissueBlock1_Dataset1
46.0,http://purl.org/ccf/APAP8#TissueBlock1_TissueBlock1_Dataset2
41.0,http://purl.org/ccf/APAP9#TissueBlock1_TissueBlock1_Dataset1
41.0,http://purl.org/ccf/APAP9#TissueBlock1_TissueBlock1_Dataset2
,http://purl.org/ccf/GTEX-13N11-5002-SM-H5JDV
,http://purl.org/ccf/GTEX-13N11-5030-SM-H5JDW
,http://purl.org/ccf/GTEX-15CHR-5005-SM-H5JDT
,http://purl.org/ccf/GTEX-15RIE-5015-SM-H8L6X
,http://purl.org/ccf/GTEX-1HSMQ-5005-SM-GKSJF
,http://purl.org/ccf/GTEX-1ICG6-5003-SM-GHS9A
62.0,http://purl.org/ccf/HEA1#TissueBlock1_TissueBlock1_Dataset1
62.0,http://purl.org/ccf/HEA1#TissueBlock1_TissueBlock1_Dataset2
80.0,http://purl.org/ccf/HEA10#TissueBlock1_TissueBlock1_Dataset1
80.0,http://purl.org/ccf/HEA10#TissueBlock1_TissueBlock1_Dataset2
70.0,http://purl.org/ccf/HEA2#TissueBlock1_TissueBlock1_Dataset1
70.0,http://purl.org/ccf/HEA2#TissueBlock1_TissueBlock1_Dataset2
39.0,http://purl.org/ccf/HEA3#TissueBlock1_TissueBlock1_Dataset1
39.0,http://purl.org/ccf/HEA3#TissueBlock1_TissueBlock1_Dataset2
59.0,http://purl.org/ccf/HEA4#TissueBlock1_TissueBlock1_Dataset1
59.0,http://purl.org/ccf/HEA4#TissueBlock1_TissueBlock1_Dataset2
70.0,http://purl.org/ccf/HEA5#TissueBlock1_TissueBlock1_Dataset1
70.0,http://purl.org/ccf/HEA5#TissueBlock1_TissueBlock1_Dataset2
71.0,http://purl.org/ccf/HEA6#TissueBlock1_TissueBlock1_Dataset1
71.0,http://purl.org/ccf/HEA6#TissueBlock1_TissueBlock1_Dataset2
67.0,http://purl.org/ccf/HEA7#TissueBlock1_TissueBlock1_Dataset1
67.0,http://purl.org/ccf/HEA7#TissueBlock1_TissueBlock1_Dataset2
64.0,http://purl.org/ccf/HEA8#TissueBlock1_TissueBlock1_Dataset1
64.0,http://purl.org/ccf/HEA8#TissueBlock1_TissueBlock1_Dataset2
57.0,http://purl.org/ccf/HEA9#TissueBlock1_TissueBlock1_Dataset1
57.0,http://purl.org/ccf/HEA9#TissueBlock1_TissueBlock1_Dataset2
32.0,http://purl.org/ccf/NAE1#TissueBlock1_TissueBlock1_Dataset1
32.0,http://purl.org/ccf/NAE1#TissueBlock1_TissueBlock1_Dataset2
56.0,http://purl.org/ccf/NAE10#TissueBlock1_TissueBlock1_Dataset1
56.0,http://purl.org/ccf/NAE10#TissueBlock1_TissueBlock1_Dataset2
61.0,http://purl.org/ccf/NAE11#TissueBlock1_TissueBlock1_Dataset1
61.0,http://purl.org/ccf/NAE11#TissueBlock1_TissueBlock1_Dataset2
50.0,http://purl.org/ccf/NAE12#TissueBlock1_TissueBlock1_Dataset1
50.0,http://purl.org/ccf/NAE12#TissueBlock1_TissueBlock1_Dataset2
53.0,http://purl.org/ccf/NAE2#TissueBlock1_TissueBlock1_Dataset1
53.0,http://purl.org/ccf/NAE2#TissueBlock1_TissueBlock1_Dataset2
48.0,http://purl.org/ccf/NAE3#TissueBlock1_TissueBlock1_Dataset1
48.0,http://purl.org/ccf/NAE3#TissueBlock1_TissueBlock1_Dataset2
58.0,http://purl.org/ccf/NAE4#TissueBlock1_TissueBlock1_Dataset1
58.0,http://purl.org/ccf/NAE4#TissueBlock1_TissueBlock1_Dataset2
60.0,http://purl.org/ccf/NAE5#TissueBlock1_TissueBlock1_Dataset1
60.0,http://purl.org/ccf/NAE5#TissueBlock1_TissueBlock1_Dataset2
29.0,http://purl.org/ccf/NAE6#TissueBlock1_TissueBlock1_Dataset1
29.0,http://purl.org/ccf/NAE6#TissueBlock1_TissueBlock1_Dataset2
60.0,http://purl.org/ccf/NAE7#TissueBlock1_TissueBlock1_Dataset1
60.0,http://purl.org/ccf/NAE7#TissueBlock1_TissueBlock1_Dataset2
59.0,http://purl.org/ccf/NAE8#TissueBlock1_TissueBlock1_Dataset1
59.0,http://purl.org/ccf/NAE8#TissueBlock1_TissueBlock1_Dataset2
68.0,http://purl.org/ccf/NAE9#TissueBlock1_TissueBlock1_Dataset1
68.0,http://purl.org/ccf/NAE9#TissueBlock1_TissueBlock1_Dataset2
21.0,http://purl.org/ccf/UFL0006-SP-1-2-1
21.0,http://purl.org/ccf/UFL0006-SP-1-3-1
20.0,http://purl.org/ccf/UFL0007-SP-1-1-1
20.0,http://purl.org/ccf/UFL0007-SP-2-2-1
10.0,http://purl.org/ccf/UFL0008-SP-1-2-1
10.0,http://purl.org/ccf/UFL0008-SP-2-1-1
69.0,http://purl.org/ccf/WD-76845-001
69.0,http://purl.org/ccf/WD-76845-006
69.0,http://purl.org/ccf/WD-76845-013
69.0,http://purl.org/ccf/WD-76845-019
69.0,http://purl.org/ccf/WD-76845-028
69.0,http://purl.org/ccf/WD-76845-033
69.0,http://purl.org/ccf/WD-76845-038
69.0,http://purl.org/ccf/WD-76845-043
69.0,http://purl.org/ccf/WD-76845-048
69.0,http://purl.org/ccf/WD-76845-053
69.0,http://purl.org/ccf/WD-76845-058
69.0,http://purl.org/ccf/WD-76845-063
69.0,http://purl.org/ccf/WD-76845-068
69.0,http://purl.org/ccf/WD-76845-073
69.0,http://purl.org/ccf/WD-76845-077
69.0,http://purl.org/ccf/WD-76845-083
69.0,http://purl.org/ccf/WD-76845-085
69.0,http://purl.org/ccf/WD-76845-090
69.0,http://purl.org/ccf/WD-76845-096
69.0,http://purl.org/ccf/WD-76845-101
69.0,http://purl.org/ccf/WD-76845-105
,http://purl.org/ccf/ctpop_datasets:
14.0,http://purl.org/ccf/ctpop_datasets:HBM243.TTRM.823
76.0,http://purl.org/ccf/ctpop_datasets:HBM297.XVDG.492
45.0,http://purl.org/ccf/ctpop_datasets:HBM476.ZWMS.768
76.0,http://purl.org/ccf/ctpop_datasets:HBM532.RKTB.483
25.0,http://purl.org/ccf/ctpop_datasets:HBM563.FJNH.776
69.0,http://purl.org/ccf/ctpop_datasets:HBM692.FLDL.779
29.0,http://purl.org/ccf/ctpop_datasets:HBM752.ZRBH.538
29.0,http://purl.org/ccf/ctpop_datasets:HBM785.LNQZ.992
66.0,http://purl.org/ccf/ctpop_datasets:HBM799.ZJDP.379
57.0,http://purl.org/ccf/ctpop_datasets:HBM837.TDQQ.538
69.0,http://purl.org/ccf/ctpop_datasets:HBM865.TRVX.355
59.0,http://purl.org/ccf/ctpop_datasets:HBM932.TBDW.952
54.0,http://purl.org/ccf/ctpop_datasets:HBM994.XRGN.328
,https://api.cellxgene.cziscience.com/dp/v1/collections/00109df5-7810-4542-8db5-2288c46e0424#A549$epithelial%20cell%20of%20alveolus%20of%20lung
,https://api.cellxgene.cziscience.com/dp/v1/collections/00109df5-7810-4542-8db5-2288c46e0424#K562$cultured%20cell
,https://api.cellxgene.cziscience.com/dp/v1/collections/00109df5-7810-4542-8db5-2288c46e0424#MCF7$mammary%20gland%20epithelial%20cell
,https://api.cellxgene.cziscience.com/dp/v1/collections/02b01703-bf1b-48de-b99a-23bef8cccc81#VS-LN$lymph%20node
,https://api.cellxgene.cziscience.com/dp/v1/collections/02b01703-bf1b-48de-b99a-23bef8cccc81#VS-TON$tonsil
,https://api.cellxgene.cziscience.com/dp/v1/collections/03cdc7f4-bd08-49d0-a395-4487c0e5a168#Emp1$alveolus%20of%20lung
,https://api.cellxgene.cziscience.com/dp/v1/collections/03cdc7f4-bd08-49d0-a395-4487c0e5a168#Emp2$alveolus%20of%20lung
,https://api.cellxgene.cziscience.com/dp/v1/collections/03cdc7f4-bd08-49d0-a395-4487c0e5a168#Emp3$alveolus%20of%20lung
,https://api.cellxgene.cziscience.com/dp/v1/collections/03cdc7f4-bd08-49d0-a395-4487c0e5a168#NL1$alveolus%20of%20lung
,https://api.cellxgene.cziscience.com/dp/v1/collections/03cdc7f4-bd08-49d0-a395-4487c0e5a168#NL2$alveolus%20of%20lung
,https://api.cellxgene.cziscience.com/dp/v1/collections/03cdc7f4-bd08-49d0-a395-4487c0e5a168#NL3$alveolus%20of%20lung
,https://api.cellxgene.cziscience.com/dp/v1/collections/03f821b4-87be-4ff4-b65a-b5fc00061da7#AN11$nasal%20cavity
,https://api.cellxgene.cziscience.com/dp/v1/collections/03f821b4-87be-4ff4-b65a-b5fc00061da7#AN12$nasal%20cavity
,https://api.cellxgene.cziscience.com/dp/v1/collections/03f821b4-87be-4ff4-b65a-b5fc00061da7#AN13$nasal%20cavity
,https://api.cellxgene.cziscience.com/dp/v1/collections/03f821b4-87be-4ff4-b65a-b5fc00061da7#AN14$nasal%20cavity
,https://api.cellxgene.cziscience.com/dp/v1/collections/03f821b4-87be-4ff4-b65a-b5fc00061da7#AN5$nasal%20cavity
,https://api.cellxgene.cziscience.com/dp/v1/collections/03f821b4-87be-4ff4-b65a-b5fc00061da7#AN6$nasal%20cavity
,https://api.cellxgene.cziscience.com/dp/v1/collections/03f821b4-87be-4ff4-b65a-b5fc00061da7#AN9$nasal%20cavity
,https://api.cellxgene.cziscience.com/dp/v1/collections/03f821b4-87be-4ff4-b65a-b5fc00061da7#AP1$nasal%20cavity
,https://api.cellxgene.cziscience.com/dp/v1/collections/03f821b4-87be-4ff4-b65a-b5fc00061da7#AP10$nasal%20cavity
,https://api.cellxgene.cziscience.com/dp/v1/collections/03f821b4-87be-4ff4-b65a-b5fc00061da7#AP11$nasal%20cavity
,https://api.cellxgene.cziscience.com/dp/v1/collections/03f821b4-87be-4ff4-b65a-b5fc00061da7#AP14$nasal%20cavity
,https://api.cellxgene.cziscience.com/dp/v1/collections/03f821b4-87be-4ff4-b65a-b5fc00061da7#AP4$nasal%20cavity
,https://api.cellxgene.cziscience.com/dp/v1/collections/03f821b4-87be-4ff4-b65a-b5fc00061da7#AP5$nasal%20cavity
,https://api.cellxgene.cziscience.com/dp/v1/collections/03f821b4-87be-4ff4-b65a-b5fc00061da7#AP7$nasal%20cavity
,https://api.cellxgene.cziscience.com/dp/v1/collections/03f821b4-87be-4ff4-b65a-b5fc00061da7#AP8$nasal%20cavity
,https://api.cellxgene.cziscience.com/dp/v1/collections/03f821b4-87be-4ff4-b65a-b5fc00061da7#AP9$nasal%20cavity
,https://api.cellxgene.cziscience.com/dp/v1/collections/03f821b4-87be-4ff4-b65a-b5fc00061da7#BP1$bronchus
,https://api.cellxgene.cziscience.com/dp/v1/collections/03f821b4-87be-4ff4-b65a-b5fc00061da7#BP2$bronchus
,https://api.cellxgene.cziscience.com/dp/v1/collections/03f821b4-87be-4ff4-b65a-b5fc00061da7#BP3$bronchus
,https://api.cellxgene.cziscience.com/dp/v1/collections/03f821b4-87be-4ff4-b65a-b5fc00061da7#BP4$bronchus
,https://api.cellxgene.cziscience.com/dp/v1/collections/03f821b4-87be-4ff4-b65a-b5fc00061da7#NP10$nasal%20cavity
,https://api.cellxgene.cziscience.com/dp/v1/collections/03f821b4-87be-4ff4-b65a-b5fc00061da7#NP11$nasal%20cavity
,https://api.cellxgene.cziscience.com/dp/v1/collections/03f821b4-87be-4ff4-b65a-b5fc00061da7#NP12$nasal%20cavity
,https://api.cellxgene.cziscience.com/dp/v1/collections/03f821b4-87be-4ff4-b65a-b5fc00061da7#NP13$bronchus
,https://api.cellxgene.cziscience.com/dp/v1/collections/03f821b4-87be-4ff4-b65a-b5fc00061da7#NP13$nasal%20cavity
,https://api.cellxgene.cziscience.com/dp/v1/collections/03f821b4-87be-4ff4-b65a-b5fc00061da7#NP14$nasal%20cavity
,https://api.cellxgene.cziscience.com/dp/v1/collections/03f821b4-87be-4ff4-b65a-b5fc00061da7#NP14$trachea
,https://api.cellxgene.cziscience.com/dp/v1/collections/03f821b4-87be-4ff4-b65a-b5fc00061da7#NP15$nasal%20cavity
,https://api.cellxgene.cziscience.com/dp/v1/collections/03f821b4-87be-4ff4-b65a-b5fc00061da7#NP16$nasal%20cavity
,https://api.cellxgene.cziscience.com/dp/v1/collections/03f821b4-87be-4ff4-b65a-b5fc00061da7#NP17$nasal%20cavity
,https://api.cellxgene.cziscience.com/dp/v1/collections/03f821b4-87be-4ff4-b65a-b5fc00061da7#NP18$nasal%20cavity
,https://api.cellxgene.cziscience.com/dp/v1/collections/03f821b4-87be-4ff4-b65a-b5fc00061da7#NP18$trachea
,https://api.cellxgene.cziscience.com/dp/v1/collections/03f821b4-87be-4ff4-b65a-b5fc00061da7#NP19$nasal%20cavity
,https://api.cellxgene.cziscience.com/dp/v1/collections/03f821b4-87be-4ff4-b65a-b5fc00061da7#NP20$nasal%20cavity
,https://api.cellxgene.cziscience.com/dp/v1/collections/03f821b4-87be-4ff4-b65a-b5fc00061da7#NP21$nasal%20cavity
,https://api.cellxgene.cziscience.com/dp/v1/collections/03f821b4-87be-4ff4-b65a-b5fc00061da7#NP22$nasal%20cavity
,https://api.cellxgene.cziscience.com/dp/v1/collections/03f821b4-87be-4ff4-b65a-b5fc00061da7#NP22$trachea
,https://api.cellxgene.cziscience.com/dp/v1/collections/03f821b4-87be-4ff4-b65a-b5fc00061da7#NP23$nasal%20cavity
,https://api.cellxgene.cziscience.com/dp/v1/collections/03f821b4-87be-4ff4-b65a-b5fc00061da7#NP23$trachea
,https://api.cellxgene.cziscience.com/dp/v1/collections/03f821b4-87be-4ff4-b65a-b5fc00061da7#NP24$nasal%20cavity
,https://api.cellxgene.cziscience.com/dp/v1/collections/03f821b4-87be-4ff4-b65a-b5fc00061da7#NP26$nasal%20cavity
,https://api.cellxgene.cziscience.com/dp/v1/collections/03f821b4-87be-4ff4-b65a-b5fc00061da7#NP26$trachea
,https://api.cellxgene.cziscience.com/dp/v1/collections/03f821b4-87be-4ff4-b65a-b5fc00061da7#NP27$nasal%20cavity
,https://api.cellxgene.cziscience.com/dp/v1/collections/03f821b4-87be-4ff4-b65a-b5fc00061da7#NP27$trachea
,https://api.cellxgene.cziscience.com/dp/v1/collections/03f821b4-87be-4ff4-b65a-b5fc00061da7#NP28$nasal%20cavity
,https://api.cellxgene.cziscience.com/dp/v1/collections/03f821b4-87be-4ff4-b65a-b5fc00061da7#NP28$trachea
,https://api.cellxgene.cziscience.com/dp/v1/collections/03f821b4-87be-4ff4-b65a-b5fc00061da7#NP30$nasal%20cavity
,https://api.cellxgene.cziscience.com/dp/v1/collections/03f821b4-87be-4ff4-b65a-b5fc00061da7#NP31$nasal%20cavity
,https://api.cellxgene.cziscience.com/dp/v1/collections/03f821b4-87be-4ff4-b65a-b5fc00061da7#NP31$trachea
,https://api.cellxgene.cziscience.com/dp/v1/collections/03f821b4-87be-4ff4-b65a-b5fc00061da7#NP32$nasal%20cavity
,https://api.cellxgene.cziscience.com/dp/v1/collections/03f821b4-87be-4ff4-b65a-b5fc00061da7#NP35$nasal%20cavity
,https://api.cellxgene.cziscience.com/dp/v1/collections/03f821b4-87be-4ff4-b65a-b5fc00061da7#NP35$trachea
,https://api.cellxgene.cziscience.com/dp/v1/collections/03f821b4-87be-4ff4-b65a-b5fc00061da7#NP36$nasal%20cavity
,https://api.cellxgene.cziscience.com/dp/v1/collections/03f821b4-87be-4ff4-b65a-b5fc00061da7#NP37$nasal%20cavity
,https://api.cellxgene.cziscience.com/dp/v1/collections/03f821b4-87be-4ff4-b65a-b5fc00061da7#NP37$trachea
,https://api.cellxgene.cziscience.com/dp/v1/collections/03f821b4-87be-4ff4-b65a-b5fc00061da7#NP38$nasal%20cavity
,https://api.cellxgene.cziscience.com/dp/v1/collections/03f821b4-87be-4ff4-b65a-b5fc00061da7#NP38$trachea
,https://api.cellxgene.cziscience.com/dp/v1/collections/03f821b4-87be-4ff4-b65a-b5fc00061da7#NP39$nasal%20cavity
,https://api.cellxgene.cziscience.com/dp/v1/collections/03f821b4-87be-4ff4-b65a-b5fc00061da7#NP39$trachea
,https://api.cellxgene.cziscience.com/dp/v1/collections/03f821b4-87be-4ff4-b65a-b5fc00061da7#NP43$nasal%20cavity
,https://api.cellxgene.cziscience.com/dp/v1/collections/03f821b4-87be-4ff4-b65a-b5fc00061da7#NP44$nasal%20cavity
,https://api.cellxgene.cziscience.com/dp/v1/collections/03f821b4-87be-4ff4-b65a-b5fc00061da7#NP44$trachea
,https://api.cellxgene.cziscience.com/dp/v1/collections/03f821b4-87be-4ff4-b65a-b5fc00061da7#NP47$nasal%20cavity
,https://api.cellxgene.cziscience.com/dp/v1/collections/03f821b4-87be-4ff4-b65a-b5fc00061da7#PC11$nasal%20cavity
,https://api.cellxgene.cziscience.com/dp/v1/collections/03f821b4-87be-4ff4-b65a-b5fc00061da7#PC12$nasal%20cavity
,https://api.cellxgene.cziscience.com/dp/v1/collections/03f821b4-87be-4ff4-b65a-b5fc00061da7#PC2$nasal%20cavity
,https://api.cellxgene.cziscience.com/dp/v1/collections/03f821b4-87be-4ff4-b65a-b5fc00061da7#PC6$nasal%20cavity
,https://api.cellxgene.cziscience.com/dp/v1/collections/03f821b4-87be-4ff4-b65a-b5fc00061da7#PP1$nasal%20cavity
,https://api.cellxgene.cziscience.com/dp/v1/collections/03f821b4-87be-4ff4-b65a-b5fc00061da7#PP1$trachea
,https://api.cellxgene.cziscience.com/dp/v1/collections/03f821b4-87be-4ff4-b65a-b5fc00061da7#PP10$nasal%20cavity
,https://api.cellxgene.cziscience.com/dp/v1/collections/03f821b4-87be-4ff4-b65a-b5fc00061da7#PP11$nasal%20cavity
,https://api.cellxgene.cziscience.com/dp/v1/collections/03f821b4-87be-4ff4-b65a-b5fc00061da7#PP12$nasal%20cavity
,https://api.cellxgene.cziscience.com/dp/v1/collections/03f821b4-87be-4ff4-b65a-b5fc00061da7#PP13$nasal%20cavity
,https://api.cellxgene.cziscience.com/dp/v1/collections/03f821b4-87be-4ff4-b65a-b5fc00061da7#PP15$nasal%20cavity
,https://api.cellxgene.cziscience.com/dp/v1/collections/03f821b4-87be-4ff4-b65a-b5fc00061da7#PP16$nasal%20cavity
,https://api.cellxgene.cziscience.com/dp/v1/collections/03f821b4-87be-4ff4-b65a-b5fc00061da7#PP17$nasal%20cavity
,https://api.cellxgene.cziscience.com/dp/v1/collections/03f821b4-87be-4ff4-b65a-b5fc00061da7#PP18$nasal%20cavity
,https://api.cellxgene.cziscience.com/dp/v1/collections/03f821b4-87be-4ff4-b65a-b5fc00061da7#PP2$nasal%20cavity
,https://api.cellxgene.cziscience.com/dp/v1/collections/03f821b4-87be-4ff4-b65a-b5fc00061da7#PP3$nasal%20cavity
,https://api.cellxgene.cziscience.com/dp/v1/collections/03f821b4-87be-4ff4-b65a-b5fc00061da7#PP4$nasal%20cavity
,https://api.cellxgene.cziscience.com/dp/v1/collections/03f821b4-87be-4ff4-b65a-b5fc00061da7#PP5$nasal%20cavity
,https://api.cellxgene.cziscience.com/dp/v1/collections/03f821b4-87be-4ff4-b65a-b5fc00061da7#PP6$nasal%20cavity
,https://api.cellxgene.cziscience.com/dp/v1/collections/03f821b4-87be-4ff4-b65a-b5fc00061da7#PP7$nasal%20cavity
,https://api.cellxgene.cziscience.com/dp/v1/collections/03f821b4-87be-4ff4-b65a-b5fc00061da7#PP8$nasal%20cavity
,https://api.cellxgene.cziscience.com/dp/v1/collections/03f821b4-87be-4ff4-b65a-b5fc00061da7#PP8$trachea
,https://api.cellxgene.cziscience.com/dp/v1/collections/03f821b4-87be-4ff4-b65a-b5fc00061da7#PP9$nasal%20cavity
,https://api.cellxgene.cziscience.com/dp/v1/collections/0434a9d4-85fd-4554-b8e3-cf6c582bb2fa#144$blood
,https://api.cellxgene.cziscience.com/dp/v1/collections/0434a9d4-85fd-4554-b8e3-cf6c582bb2fa#161$blood
,https://api.cellxgene.cziscience.com/dp/v1/collections/0434a9d4-85fd-4554-b8e3-cf6c582bb2fa#180$blood
,https://api.cellxgene.cziscience.com/dp/v1/collections/0434a9d4-85fd-4554-b8e3-cf6c582bb2fa#184$blood
,https://api.cellxgene.cziscience.com/dp/v1/collections/0434a9d4-85fd-4554-b8e3-cf6c582bb2fa#218$blood
,https://api.cellxgene.cziscience.com/dp/v1/collections/0434a9d4-85fd-4554-b8e3-cf6c582bb2fa#219$blood
,https://api.cellxgene.cziscience.com/dp/v1/collections/0434a9d4-85fd-4554-b8e3-cf6c582bb2fa#259$blood
,https://api.cellxgene.cziscience.com/dp/v1/collections/0434a9d4-85fd-4554-b8e3-cf6c582bb2fa#3$blood
,https://api.cellxgene.cziscience.com/dp/v1/collections/0434a9d4-85fd-4554-b8e3-cf6c582bb2fa#318$blood
,https://api.cellxgene.cziscience.com/dp/v1/collections/0434a9d4-85fd-4554-b8e3-cf6c582bb2fa#336$blood
,https://api.cellxgene.cziscience.com/dp/v1/collections/0434a9d4-85fd-4554-b8e3-cf6c582bb2fa#345$blood
,https://api.cellxgene.cziscience.com/dp/v1/collections/0434a9d4-85fd-4554-b8e3-cf6c582bb2fa#366$blood
,https://api.cellxgene.cziscience.com/dp/v1/collections/0434a9d4-85fd-4554-b8e3-cf6c582bb2fa#367$blood
,https://api.cellxgene.cziscience.com/dp/v1/collections/0434a9d4-85fd-4554-b8e3-cf6c582bb2fa#370$blood
,https://api.cellxgene.cziscience.com/dp/v1/collections/0434a9d4-85fd-4554-b8e3-cf6c582bb2fa#90$blood
,https://api.cellxgene.cziscience.com/dp/v1/collections/0a77d4c0-d5d0-40f0-aa1a-5e1429bcbd7e#R229$islet%20of%20Langerhans
,https://api.cellxgene.cziscience.com/dp/v1/collections/0a77d4c0-d5d0-40f0-aa1a-5e1429bcbd7e#R237$islet%20of%20Langerhans
,https://api.cellxgene.cziscience.com/dp/v1/collections/0a77d4c0-d5d0-40f0-aa1a-5e1429bcbd7e#R239$islet%20of%20Langerhans
,https://api.cellxgene.cziscience.com/dp/v1/collections/0a77d4c0-d5d0-40f0-aa1a-5e1429bcbd7e#R245$islet%20of%20Langerhans
,https://api.cellxgene.cziscience.com/dp/v1/collections/0a77d4c0-d5d0-40f0-aa1a-5e1429bcbd7e#R266$islet%20of%20Langerhans
,https://api.cellxgene.cziscience.com/dp/v1/collections/0a77d4c0-d5d0-40f0-aa1a-5e1429bcbd7e#pig_donor$islet%20of%20Langerhans
,https://api.cellxgene.cziscience.com/dp/v1/collections/0a77d4c0-d5d0-40f0-aa1a-5e1429bcbd7e#pooled$islet%20of%20Langerhans
,https://api.cellxgene.cziscience.com/dp/v1/collections/0a839c4b-10d0-4d64-9272-684c49a2c8ba#P-HC001$blood
,https://api.cellxgene.cziscience.com/dp/v1/collections/0a839c4b-10d0-4d64-9272-684c49a2c8ba#P-HC002$blood
,https://api.cellxgene.cziscience.com/dp/v1/collections/0a839c4b-10d0-4d64-9272-684c49a2c8ba#P-HC003$blood
,https://api.cellxgene.cziscience.com/dp/v1/collections/0a839c4b-10d0-4d64-9272-684c49a2c8ba#P-HC004$blood
,https://api.cellxgene.cziscience.com/dp/v1/collections/0a839c4b-10d0-4d64-9272-684c49a2c8ba#P-HC005$blood
,https://api.cellxgene.cziscience.com/dp/v1/collections/0a839c4b-10d0-4d64-9272-684c49a2c8ba#P-HC006$blood
,https://api.cellxgene.cziscience.com/dp/v1/collections/0a839c4b-10d0-4d64-9272-684c49a2c8ba#P-HC007$blood
,https://api.cellxgene.cziscience.com/dp/v1/collections/0a839c4b-10d0-4d64-9272-684c49a2c8ba#P-HC008$blood
,https://api.cellxgene.cziscience.com/dp/v1/collections/0a839c4b-10d0-4d64-9272-684c49a2c8ba#P-HC009$blood
,https://api.cellxgene.cziscience.com/dp/v1/collections/0a839c4b-10d0-4d64-9272-684c49a2c8ba#P-HC010$blood
,https://api.cellxgene.cziscience.com/dp/v1/collections/0a839c4b-10d0-4d64-9272-684c49a2c8ba#P-HC011$blood
,https://api.cellxgene.cziscience.com/dp/v1/collections/0a839c4b-10d0-4d64-9272-684c49a2c8ba#P-HC012$blood
,https://api.cellxgene.cziscience.com/dp/v1/collections/0a839c4b-10d0-4d64-9272-684c49a2c8ba#P-HC013$blood
,https://api.cellxgene.cziscience.com/dp/v1/collections/0a839c4b-10d0-4d64-9272-684c49a2c8ba#P-HC014$blood
,https://api.cellxgene.cziscience.com/dp/v1/collections/0a839c4b-10d0-4d64-9272-684c49a2c8ba#P-HC015$blood
,https://api.cellxgene.cziscience.com/dp/v1/collections/0a839c4b-10d0-4d64-9272-684c49a2c8ba#P-HC016$blood
,https://api.cellxgene.cziscience.com/dp/v1/collections/0a839c4b-10d0-4d64-9272-684c49a2c8ba#P-HC017$blood
,https://api.cellxgene.cziscience.com/dp/v1/collections/0a839c4b-10d0-4d64-9272-684c49a2c8ba#P-HC018$blood
,https://api.cellxgene.cziscience.com/dp/v1/collections/0a839c4b-10d0-4d64-9272-684c49a2c8ba#P-HC019$blood
,https://api.cellxgene.cziscience.com/dp/v1/collections/0a839c4b-10d0-4d64-9272-684c49a2c8ba#P-HC020$blood
