FTU_partonomy	cell_type	CT_ID	CT_label	biomarker	Biomarker - type
kidney-->renal medulla-->inner medulla of kidney-->Descending Vasa Recta	vasa recta descending limb cell	CL:1001285	Descending Vasa Recta Endothelial Cell	TM4SF1	gene
kidney-->renal medulla-->inner medulla of kidney-->Descending Vasa Recta	vasa recta descending limb cell	CL:1001285	Descending Vasa Recta Endothelial Cell	PALMD	gene
kidney-->renal medulla-->inner medulla of kidney-->Descending Vasa Recta	vasa recta descending limb cell	CL:1001285	Descending Vasa Recta Endothelial Cell	ADAMTS6	gene
kidney-->renal medulla-->inner medulla of kidney-->renal papilla-->papillary tip	kidney inner medulla collecting duct principal cell	CL:1000718	Inner Medullary Collecting Duct Cell	AQP2	gene
kidney-->renal medulla-->inner medulla of kidney-->renal papilla-->papillary tip	kidney inner medulla collecting duct principal cell	CL:1000718	Inner Medullary Collecting Duct Cell	SLC14A2	gene
kidney-->renal medulla-->inner medulla of kidney-->renal papilla-->papillary tip	kidney inner medulla collecting duct	CL:1000718	Inner Medullary Collecting Duct Cell	AQP2	gene
kidney-->renal medulla-->inner medulla of kidney-->renal papilla-->papillary tip	kidney inner medulla collecting duct	CL:1000718	Inner Medullary Collecting Duct Cell	SLC14A2	gene
kidney-->renal cortex-->renal column (column of Bertin)-->Glomerular Epithelium-->visceral epithelial layer	glomerular visceral epithelial cell	CL:0000653	Podocyte	NPHS2	gene
kidney-->renal cortex-->renal column (column of Bertin)-->Glomerular Epithelium-->visceral epithelial layer	glomerular visceral epithelial cell	CL:0000653	Podocyte	PODXL	gene
kidney-->renal cortex-->renal column (column of Bertin)-->Glomerular Epithelium-->visceral epithelial layer	glomerular visceral epithelial cell	CL:0000653	Podocyte	NPHS1	gene
kidney-->renal cortex-->renal column (column of Bertin)-->Glomerular Epithelium-->visceral epithelial layer	glomerular visceral epithelial cell	CL:0000653	Podocyte	PTPRQ	gene
kidney-->renal medulla-->renal pyramid-->Descending Vasa Recta	vasa recta descending limb cell	CL:1001285	Descending Vasa Recta Endothelial Cell	SERPINE2	gene
kidney-->renal medulla-->renal pyramid-->Descending Vasa Recta	vasa recta descending limb cell	CL:1001285	Descending Vasa Recta Endothelial Cell	TM4SF1	gene
kidney-->renal medulla-->renal pyramid-->Descending Vasa Recta	vasa recta descending limb cell	CL:1001285	Descending Vasa Recta Endothelial Cell	PALMD	gene
kidney-->renal medulla-->renal pyramid-->Descending Vasa Recta	vasa recta descending limb cell	CL:1001285	Descending Vasa Recta Endothelial Cell	ADAMTS6	gene
kidney-->nephron-->Renal Corpuscle-->Glomerular Epithelium-->parietal epithelial layer	parietal epithelial cell	CL:1000452	Parietal Epithelial Cell	VCAM1	gene
kidney-->nephron-->Renal Corpuscle-->Glomerular Epithelium-->parietal epithelial layer	parietal epithelial cell	CL:1000452	Parietal Epithelial Cell	CFH	gene
kidney-->nephron-->Renal Corpuscle-->Glomerular Epithelium-->parietal epithelial layer	parietal epithelial cell	CL:1000452	Parietal Epithelial Cell	CRB2	gene
kidney-->nephron-->Renal Corpuscle-->Glomerular Epithelium-->parietal epithelial layer	parietal epithelial cell	CL:1000452	Parietal Epithelial Cell	ALDH1A2	gene
kidney-->nephron-->Renal Corpuscle-->Glomerular Epithelium-->visceral epithelial layer	glomerular visceral epithelial cell	CL:0000653	Podocyte	NPHS2	gene
kidney-->nephron-->Renal Corpuscle-->Glomerular Epithelium-->visceral epithelial layer	glomerular visceral epithelial cell	CL:0000653	Podocyte	PODXL	gene
kidney-->nephron-->Renal Corpuscle-->Glomerular Epithelium-->visceral epithelial layer	glomerular visceral epithelial cell	CL:0000653	Podocyte	NPHS1	gene
kidney-->nephron-->Renal Corpuscle-->Glomerular Epithelium-->visceral epithelial layer	glomerular visceral epithelial cell	CL:0000653	Podocyte	PTPRQ	gene
kidney-->nephron-->Renal Corpuscle-->Glomerular Epithelium-->visceral epithelial layer	glomerular visceral epithelial cell	CL:0000653	Podocyte	NTNG1	gene
kidney-->nephron-->Renal Corpuscle-->Glomerular Epithelium-->visceral epithelial layer	glomerular visceral epithelial cell	CL:0000653	Podocyte	CLIC5	gene
kidney-->nephron-->Renal Corpuscle-->renal glomerulus-->Glomerulus Vasculature-->glomerular capillary endothelium	glomerular capillary endothelial cell	CL:1001005	Glomerular Capillary Endothelial Cell	EHD3	gene
kidney-->nephron-->Renal Corpuscle-->renal glomerulus-->Glomerulus Vasculature-->glomerular capillary endothelium	glomerular capillary endothelial cell	CL:1001005	Glomerular Capillary Endothelial Cell	EMCN	gene
kidney-->nephron-->Renal Corpuscle-->renal glomerulus-->Glomerulus Vasculature-->glomerular capillary endothelium	glomerular capillary endothelial cell	CL:1001005	Glomerular Capillary Endothelial Cell	HECW2	gene
kidney-->nephron-->Renal Corpuscle-->renal glomerulus-->Glomerulus Vasculature-->glomerular capillary endothelium	glomerular capillary endothelial cell	CL:1001005	Glomerular Capillary Endothelial Cell	FLT1	gene
kidney-->nephron-->Renal Corpuscle-->renal glomerulus-->Glomerulus Vasculature-->glomerular capillary endothelium	glomerular capillary endothelial cell	CL:1001005	Glomerular Capillary Endothelial Cell	AQP1	gene
kidney-->nephron-->Renal Corpuscle-->renal glomerulus-->Glomerulus Vasculature-->glomerular capillary endothelium	glomerular capillary endothelial cell	CL:1001005	Glomerular Capillary Endothelial Cell	PLAT	gene
kidney-->nephron-->Renal Corpuscle-->Interstitium-->Proximal Tubule-->glomerular mesangium	glomerular mesangial cell	CL:1000742	Mesangial Cell	POSTN	gene
kidney-->nephron-->Renal Corpuscle-->Interstitium-->Proximal Tubule-->glomerular mesangium	glomerular mesangial cell	CL:1000742	Mesangial Cell	PIEZO2	gene
kidney-->nephron-->Renal Corpuscle-->Interstitium-->Proximal Tubule-->glomerular mesangium	glomerular mesangial cell	CL:1000742	Mesangial Cell	ROBO1	gene
kidney-->nephron-->Renal Corpuscle-->Interstitium-->Proximal Tubule-->glomerular mesangium	glomerular mesangial cell	CL:1000742	Mesangial Cell	ITGA8	gene
kidney-->nephron-->Renal Corpuscle-->Interstitium-->Proximal Tubule-->glomerular mesangium	glomerular mesangial cell	CL:1000742	Mesangial Cell	PDGFRB	gene
kidney-->nephron-->Renal Corpuscle-->Interstitium-->Proximal Tubule-->glomerular mesangium	glomerular mesangial cell	CL:1000742	Mesangial Cell	SYNPO2	gene
kidney-->nephron-->Tubules-->proximal tubule	epithelial cell of proximal tubule	CL:0002306	Proximal Tubule Epithelial Cell	CUBN	gene
kidney-->nephron-->Tubules-->proximal tubule	epithelial cell of proximal tubule	CL:0002306	Proximal Tubule Epithelial Cell	LRP2	gene
kidney-->nephron-->Tubules-->proximal tubule	epithelial cell of proximal tubule	CL:0002306	Proximal Tubule Epithelial Cell	SLC13A1	gene
kidney-->nephron-->Tubules-->proximal tubule	epithelial cell of proximal tubule	CL:0002306	Proximal Tubule Epithelial Cell	ALDOB	gene
kidney-->nephron-->Tubules-->proximal tubule	epithelial cell of proximal tubule	CL:0002306	Proximal Tubule Epithelial Cell	GATM	gene
kidney-->nephron-->Tubules-->Proximal Tubule-->proximal convoluted tubule segment 1	epithelial cell of proximal tubule segment 1	CL:4030009	Proximal Tubule Epithelial Cell Segment 1	SLC5A12	gene
kidney-->nephron-->Tubules-->Proximal Tubule-->proximal convoluted tubule segment 1	epithelial cell of proximal tubule segment 1	CL:4030009	Proximal Tubule Epithelial Cell Segment 1	SLC5A2	gene
kidney-->nephron-->Tubules-->Proximal Tubule-->proximal convoluted tubule segment 1	epithelial cell of proximal tubule segment 1	CL:4030009	Proximal Tubule Epithelial Cell Segment 1	SLC34A1	gene
kidney-->nephron-->Tubules-->Proximal Tubule-->proximal convoluted tubule segment 1	epithelial cell of proximal tubule segment 1	CL:4030009	Proximal Tubule Epithelial Cell Segment 1	SLC22A6	gene
kidney-->nephron-->Tubules-->Proximal Tubule-->proximal convoluted tubule segment 1	epithelial cell of proximal tubule segment 1	CL:4030009	Proximal Tubule Epithelial Cell Segment 1	SLC22A8	gene
kidney-->nephron-->Tubules-->Proximal Tubule-->proximal convoluted tubule segment 1	epithelial cell of proximal tubule segment 1	CL:4030009	Proximal Tubule Epithelial Cell Segment 1	PRODH2	gene
kidney-->nephron-->Tubules-->Loop of Henle (Thin Limb)-->descending thin limb of loop of Henle	kidney loop of Henle thin descending limb epithelial cell	CL:1001111	Descending Thin Limb Cell	CRYAB	gene
kidney-->nephron-->Tubules-->Loop of Henle (Thin Limb)-->descending thin limb of loop of Henle	kidney loop of Henle thin descending limb epithelial cell	CL:1001111	Descending Thin Limb Cell	SPP1	gene
kidney-->nephron-->Tubules-->Loop of Henle (Thin Limb)-->descending thin limb of loop of Henle	kidney loop of Henle thin descending limb epithelial cell	CL:1001111	Descending Thin Limb Cell	SATB2	gene
kidney-->nephron-->Tubules-->Loop of Henle (Thin Limb)-->descending thin limb of loop of Henle	kidney loop of Henle thin descending limb epithelial cell	CL:1001111	Descending Thin Limb Cell	VCAM1	gene
kidney-->nephron-->Tubules-->Loop of Henle (Thin Limb)-->descending thin limb of loop of Henle	kidney loop of Henle thin descending limb epithelial cell	CL:1001111	Descending Thin Limb Cell	SLC44A5	gene
kidney-->nephron-->Tubules-->Loop of Henle (Thin Limb)-->descending thin limb of loop of Henle	kidney loop of Henle thin descending limb epithelial cell	CL:1001111	Descending Thin Limb Cell	CDH1	gene
kidney-->nephron-->Tubules-->Loop of Henle (Thin Limb)-->descending thin limb of loop of Henle	kidney loop of Henle thin descending limb epithelial cell	CL:1001111	Descending Thin Limb Cell	CRYAB	gene
kidney-->nephron-->Tubules-->Loop of Henle (Thin Limb)-->descending thin limb of loop of Henle	kidney loop of Henle thin descending limb epithelial cell	CL:1001111	Descending Thin Limb Cell	SPP1	gene
kidney-->nephron-->Tubules-->Loop of Henle (Thin Limb)-->descending thin limb of loop of Henle	kidney loop of Henle thin descending limb epithelial cell	CL:1001111	Descending Thin Limb Cell	SATB2	gene
kidney-->nephron-->Tubules-->Loop of Henle (Thin Limb)-->descending thin limb of loop of Henle	kidney loop of Henle thin descending limb epithelial cell	CL:1001111	Descending Thin Limb Cell	VCAM1	gene
kidney-->nephron-->Tubules-->Loop of Henle (Thin Limb)-->descending thin limb of loop of Henle	kidney loop of Henle thin descending limb epithelial cell	CL:1001111	Descending Thin Limb Cell	SLC44A5	gene
kidney-->nephron-->Tubules-->Loop of Henle (Thin Limb)-->descending thin limb of loop of Henle	kidney loop of Henle thin descending limb epithelial cell	CL:1001111	Descending Thin Limb Cell	CDH1	gene
kidney-->nephron-->Tubules-->Loop of Henle (Thin Limb)	kidney loop of Henle thin ascending limb epithelial cell	CL:1001107	Ascending Thin Limb Cell	CRYAB	gene
kidney-->nephron-->Tubules-->Loop of Henle (Thin Limb)	kidney loop of Henle thin ascending limb epithelial cell	CL:1001107	Ascending Thin Limb Cell	TACSTD2	gene
kidney-->nephron-->Tubules-->Loop of Henle (Thin Limb)	kidney loop of Henle thin ascending limb epithelial cell	CL:1001107	Ascending Thin Limb Cell	CLDN3	gene
kidney-->nephron-->Tubules-->Loop of Henle (Thin Limb)	kidney loop of Henle thin ascending limb epithelial cell	CL:1001107	Ascending Thin Limb Cell	SH3GL3	gene
kidney-->nephron-->Tubules-->Loop of Henle (Thin Limb)	kidney loop of Henle thin ascending limb epithelial cell	CL:1001107	Ascending Thin Limb Cell	PROX1	gene
kidney-->nephron-->Tubules-->Loop of Henle (Thin Limb)	kidney loop of Henle thin ascending limb epithelial cell	CL:1001107	Ascending Thin Limb Cell	CLCNKA	gene
kidney-->nephron-->Tubules-->Loop of Henle (Thin Limb)	kidney loop of Henle thin ascending limb epithelial cell	CL:1001107	Ascending Thin Limb Cell	CDH1	gene
kidney-->nephron-->Tubules-->Loop of Henle (Thin Limb)	kidney loop of Henle thin ascending limb epithelial cell	CL:1001107	Ascending Thin Limb Cell	CRYAB	gene
kidney-->nephron-->Tubules-->Loop of Henle (Thin Limb)	kidney loop of Henle thin ascending limb epithelial cell	CL:1001107	Ascending Thin Limb Cell	TACSTD2	gene
kidney-->nephron-->Tubules-->Loop of Henle (Thin Limb)	kidney loop of Henle thin ascending limb epithelial cell	CL:1001107	Ascending Thin Limb Cell	CLDN3	gene
kidney-->nephron-->Tubules-->Loop of Henle (Thin Limb)	kidney loop of Henle thin ascending limb epithelial cell	CL:1001107	Ascending Thin Limb Cell	SH3GL3	gene
kidney-->nephron-->Tubules-->Loop of Henle (Thin Limb)	kidney loop of Henle thin ascending limb epithelial cell	CL:1001107	Ascending Thin Limb Cell	PROX1	gene
kidney-->nephron-->Tubules-->Loop of Henle (Thin Limb)	kidney loop of Henle thin ascending limb epithelial cell	CL:1001107	Ascending Thin Limb Cell	CLCNKA	gene
kidney-->nephron-->Tubules-->Loop of Henle (Thin Limb)	kidney loop of Henle thin ascending limb epithelial cell	CL:1001107	Ascending Thin Limb Cell	CDH1	gene
kidney-->nephron-->Tubules-->Loop of Henle (Thick Limb)	kidney loop of Henle thick ascending limb epithelial cell	CL:1001106	Thick Ascending Limb Cell	SLC12A1	gene
kidney-->nephron-->Tubules-->Loop of Henle (Thick Limb)	kidney loop of Henle thick ascending limb epithelial cell	CL:1001106	Thick Ascending Limb Cell	UMOD	gene
kidney-->nephron-->Tubules-->Loop of Henle (Thick Limb)	kidney loop of Henle thick ascending limb epithelial cell	CL:1001106	Thick Ascending Limb Cell	CASR	gene
kidney-->nephron-->Tubules-->Loop of Henle (Thick Limb)	kidney loop of Henle thick ascending limb epithelial cell	CL:1001106	Thick Ascending Limb Cell	ATP1A1	gene
kidney-->nephron-->Tubules-->Loop of Henle (Thick Limb)	kidney loop of Henle thick ascending limb epithelial cell	CL:1001106	Thick Ascending Limb Cell	CDH1	gene
kidney-->nephron-->Tubules-->Loop of Henle (Thick Limb)	kidney loop of Henle thick ascending limb epithelial cell	CL:1001106	Thick Ascending Limb Cell	SLC12A1	gene
kidney-->nephron-->Tubules-->Loop of Henle (Thick Limb)	kidney loop of Henle thick ascending limb epithelial cell	CL:1001106	Thick Ascending Limb Cell	UMOD	gene
kidney-->nephron-->Tubules-->Loop of Henle (Thick Limb)	kidney loop of Henle thick ascending limb epithelial cell	CL:1001106	Thick Ascending Limb Cell	CASR	gene
kidney-->nephron-->Tubules-->Loop of Henle (Thick Limb)	kidney loop of Henle thick ascending limb epithelial cell	CL:1001106	Thick Ascending Limb Cell	ATP1A1	gene
kidney-->nephron-->Tubules-->Loop of Henle (Thick Limb)	kidney loop of Henle thick ascending limb epithelial cell	CL:1001106	Thick Ascending Limb Cell	CDH1	gene
kidney-->nephron-->Tubules-->Loop of Henle (Thick Limb/ Cortex)-->Macula Densa	macula densa epithelial cell	CL:1000850	Macula Densa cell	SLC12A1	gene
kidney-->nephron-->Tubules-->Loop of Henle (Thick Limb/ Cortex)-->Macula Densa	macula densa epithelial cell	CL:1000850	Macula Densa cell	NOS1	gene
kidney-->nephron-->Tubules-->Loop of Henle (Thick Limb/ Cortex)-->Macula Densa	macula densa epithelial cell	CL:1000850	Macula Densa cell	ROBO2	gene
kidney-->nephron-->Tubules-->Loop of Henle (Thick Limb/ Cortex)-->Macula Densa	macula densa epithelial cell	CL:1000850	Macula Densa cell	ATP1A1	gene
kidney-->nephron-->Tubules-->Loop of Henle (Thick Limb/ Cortex)-->Macula Densa	macula densa epithelial cell	CL:1000850	Macula Densa cell	CDH1	gene
kidney-->nephron-->Tubules-->Loop of Henle (Thick Limb/ Cortex)-->Macula Densa	macula densa epithelial cell	CL:1000850	Macula Densa cell	SLC12A1	gene
kidney-->nephron-->Tubules-->Loop of Henle (Thick Limb/ Cortex)-->Macula Densa	macula densa epithelial cell	CL:1000850	Macula Densa cell	NOS1	gene
kidney-->nephron-->Tubules-->Loop of Henle (Thick Limb/ Cortex)-->Macula Densa	macula densa epithelial cell	CL:1000850	Macula Densa cell	ROBO2	gene
kidney-->nephron-->Tubules-->Loop of Henle (Thick Limb/ Cortex)-->Macula Densa	macula densa epithelial cell	CL:1000850	Macula Densa cell	ATP1A1	gene
kidney-->nephron-->Tubules-->Loop of Henle (Thick Limb/ Cortex)-->Macula Densa	macula densa epithelial cell	CL:1000850	Macula Densa cell	CDH1	gene
kidney-->nephron-->Tubules-->Distal Convolution	kidney distal convoluted tubule epithelial cell	CL:1000849	Distal Convoluted Tubule Cell	SLC12A3	gene
kidney-->nephron-->Tubules-->Distal Convolution	kidney distal convoluted tubule epithelial cell	CL:1000849	Distal Convoluted Tubule Cell	TRPM6	gene
kidney-->nephron-->Tubules-->Distal Convolution	kidney distal convoluted tubule epithelial cell	CL:1000849	Distal Convoluted Tubule Cell	CALB1	gene
kidney-->nephron-->Tubules-->Distal Convolution	kidney distal convoluted tubule epithelial cell	CL:1000849	Distal Convoluted Tubule Cell	SALL3	gene
kidney-->nephron-->Tubules-->Distal Convolution	kidney distal convoluted tubule epithelial cell	CL:1000849	Distal Convoluted Tubule Cell	ATP1A1	gene
kidney-->nephron-->Tubules-->Distal Convolution	kidney distal convoluted tubule epithelial cell	CL:1000849	Distal Convoluted Tubule Cell	CDH1	gene
kidney-->nephron-->Tubules-->Connecting Tubule	kidney connecting tubule epithelial cell	CL:1000768	Connecting Tubule Cell	SLC8A1	gene
kidney-->nephron-->Tubules-->Connecting Tubule	kidney connecting tubule epithelial cell	CL:1000768	Connecting Tubule Cell	CALB1	gene
kidney-->nephron-->Tubules-->Connecting Tubule	kidney connecting tubule epithelial cell	CL:1000768	Connecting Tubule Cell	TRPV5	gene
kidney-->nephron-->Tubules-->Connecting Tubule	kidney connecting tubule epithelial cell	CL:1000768	Connecting Tubule Cell	GATA3	gene
kidney-->nephron-->Tubules-->Connecting Tubule	kidney connecting tubule epithelial cell	CL:1000768	Connecting Tubule Cell	HSD11B2	gene
kidney-->nephron-->Tubules-->Connecting Tubule	kidney connecting tubule epithelial cell	CL:1000768	Connecting Tubule Cell	SCNN1G	gene
kidney-->nephron-->Tubules-->Connecting Tubule	kidney connecting tubule epithelial cell	CL:1000768	Connecting Tubule Cell	SCN2A	gene
kidney-->nephron-->Tubules-->Connecting Tubule	kidney connecting tubule epithelial cell	CL:1000768	Connecting Tubule Cell	CDH1	gene
kidney-->renal collecting system-->Tubules-->Collecting Duct (Cortex)	kidney cortex collecting duct principal cell	CL:1000714	Cortical Collecting Duct Principal Cell	AQP2	gene
kidney-->renal collecting system-->Tubules-->Collecting Duct (Cortex)	kidney cortex collecting duct principal cell	CL:1000714	Cortical Collecting Duct Principal Cell	AQP3	gene
kidney-->renal collecting system-->Tubules-->Collecting Duct (Cortex)	kidney cortex collecting duct principal cell	CL:1000714	Cortical Collecting Duct Principal Cell	FXYD4	gene
kidney-->renal collecting system-->Tubules-->Collecting Duct (Cortex)	kidney cortex collecting duct principal cell	CL:1000714	Cortical Collecting Duct Principal Cell	SCNN1G	gene
kidney-->renal collecting system-->Tubules-->Collecting Duct (Cortex)	kidney cortex collecting duct principal cell	CL:1000714	Cortical Collecting Duct Principal Cell	GATA3	gene
kidney-->renal collecting system-->Tubules-->Collecting Duct (Cortex)	kidney cortex collecting duct principal cell	CL:1000714	Cortical Collecting Duct Principal Cell	AQP2	gene
kidney-->renal collecting system-->Tubules-->Collecting Duct (Cortex)	kidney cortex collecting duct principal cell	CL:1000714	Cortical Collecting Duct Principal Cell	AQP3	gene
kidney-->renal collecting system-->Tubules-->Collecting Duct (Cortex)	kidney cortex collecting duct principal cell	CL:1000714	Cortical Collecting Duct Principal Cell	FXYD4	gene
kidney-->renal collecting system-->Tubules-->Collecting Duct (Cortex)	kidney cortex collecting duct principal cell	CL:1000714	Cortical Collecting Duct Principal Cell	SCNN1G	gene
kidney-->renal collecting system-->Tubules-->Collecting Duct (Cortex)	kidney cortex collecting duct principal cell	CL:1000714	Cortical Collecting Duct Principal Cell	GATA3	gene
kidney-->renal collecting system-->Tubules-->Collecting Duct (Outer Medulla)	kidney outer medulla collecting duct principal cell	CL:1000716	Outer Medullary Collecting Duct Principal Cell	AQP2	gene
kidney-->renal collecting system-->Tubules-->Collecting Duct (Outer Medulla)	kidney outer medulla collecting duct principal cell	CL:1000716	Outer Medullary Collecting Duct Principal Cell	AQP3	gene
kidney-->renal collecting system-->Tubules-->Collecting Duct (Outer Medulla)	kidney outer medulla collecting duct principal cell	CL:1000716	Outer Medullary Collecting Duct Principal Cell	FXYD4	gene
kidney-->renal collecting system-->Tubules-->Collecting Duct (Outer Medulla)	kidney outer medulla collecting duct principal cell	CL:1000716	Outer Medullary Collecting Duct Principal Cell	SCNN1G	gene
kidney-->renal collecting system-->Tubules-->Collecting Duct (Outer Medulla)	kidney outer medulla collecting duct principal cell	CL:1000716	Outer Medullary Collecting Duct Principal Cell	GATA3	gene
kidney-->renal collecting system-->Tubules-->Collecting Duct (Outer Medulla)	kidney outer medulla collecting duct principal cell	CL:1000716	Outer Medullary Collecting Duct Principal Cell	AQP2	gene
kidney-->renal collecting system-->Tubules-->Collecting Duct (Outer Medulla)	kidney outer medulla collecting duct principal cell	CL:1000716	Outer Medullary Collecting Duct Principal Cell	AQP3	gene
kidney-->renal collecting system-->Tubules-->Collecting Duct (Outer Medulla)	kidney outer medulla collecting duct principal cell	CL:1000716	Outer Medullary Collecting Duct Principal Cell	FXYD4	gene
kidney-->renal collecting system-->Tubules-->Collecting Duct (Outer Medulla)	kidney outer medulla collecting duct principal cell	CL:1000716	Outer Medullary Collecting Duct Principal Cell	SCNN1G	gene
kidney-->renal collecting system-->Tubules-->Collecting Duct (Outer Medulla)	kidney outer medulla collecting duct principal cell	CL:1000716	Outer Medullary Collecting Duct Principal Cell	GATA3	gene
kidney-->renal collecting system-->Tubules-->Collecting Duct (Inner Medulla)	kidney inner medulla collecting duct principal cell	CL:1000718	Inner Medullary Collecting Duct Cell	AQP2	gene
kidney-->renal collecting system-->Tubules-->Collecting Duct (Inner Medulla)	kidney inner medulla collecting duct principal cell	CL:1000718	Inner Medullary Collecting Duct Cell	SLC14A2	gene
kidney-->renal collecting system-->Tubules-->Collecting Duct (Inner Medulla)	kidney inner medulla collecting duct	CL:1000718	Inner Medullary Collecting Duct Cell	AQP2	gene
kidney-->renal collecting system-->Tubules-->Collecting Duct (Inner Medulla)	kidney inner medulla collecting duct	CL:1000718	Inner Medullary Collecting Duct Cell	SLC14A2	gene
kidney-->renal collecting system-->Tubules-->Collecting Duct	kidney collecting duct alpha-intercalated cell	CL:4030015	Collecting Duct Intercalated Cell Type A	SLC4A1	gene
kidney-->renal collecting system-->Tubules-->Collecting Duct	kidney collecting duct alpha-intercalated cell	CL:4030015	Collecting Duct Intercalated Cell Type A	SLC26A7	gene
kidney-->renal collecting system-->Tubules-->Collecting Duct	kidney collecting duct alpha-intercalated cell	CL:4030015	Collecting Duct Intercalated Cell Type A	TMEM213	gene
kidney-->renal collecting system-->Tubules-->Collecting Duct	kidney collecting duct alpha-intercalated cell	CL:4030015	Collecting Duct Intercalated Cell Type A	KIT	gene
kidney-->renal collecting system-->Tubules-->Collecting Duct	kidney collecting duct alpha-intercalated cell	CL:4030015	Collecting Duct Intercalated Cell Type A	AQP6	gene
kidney-->renal collecting system-->Tubules-->Collecting Duct (Cortex)	kidney cortex collecting duct intercalated cell	CL:1000715	Cortical Collecting Duct Intercalated Cell Type A	SLC26A7	gene
kidney-->renal collecting system-->Tubules-->Collecting Duct (Cortex)	kidney cortex collecting duct intercalated cell	CL:1000715	Cortical Collecting Duct Intercalated Cell Type A	SLC4A1	gene
kidney-->renal collecting system-->Tubules-->Collecting Duct (Cortex)	kidney cortex collecting duct intercalated cell	CL:1000715	Cortical Collecting Duct Intercalated Cell Type A	KIT	gene
kidney-->renal collecting system-->Tubules-->Collecting Duct (Cortex)	kidney cortex collecting duct intercalated cell	CL:1000715	Cortical Collecting Duct Intercalated Cell Type A	AQP6	gene
kidney-->renal collecting system-->Tubules-->Collecting Duct (Medulla)	kidney outer medulla collecting duct intercalated cell	CL:1000717	Outer Medullary Collecting Duct Intercalated Cell Type A	SLC26A7	gene
kidney-->renal collecting system-->Tubules-->Collecting Duct (Medulla)	kidney outer medulla collecting duct intercalated cell	CL:1000717	Outer Medullary Collecting Duct Intercalated Cell Type A	SLC4A1	gene
kidney-->renal collecting system-->Tubules-->Collecting Duct (Medulla)	kidney outer medulla collecting duct intercalated cell	CL:1000717	Outer Medullary Collecting Duct Intercalated Cell Type A	KIT	gene
kidney-->renal collecting system-->Tubules-->Collecting Duct (Medulla)	kidney outer medulla collecting duct intercalated cell	CL:1000717	Outer Medullary Collecting Duct Intercalated Cell Type A	CALCA	gene
kidney-->renal collecting system-->Tubules-->Collecting Duct	kidney cortex collecting duct intercalated cell	CL:1000715	Cortical Collecting Duct Intercalated Cell Type B	SLC4A9	gene
kidney-->renal collecting system-->Tubules-->Collecting Duct	kidney cortex collecting duct intercalated cell	CL:1000715	Cortical Collecting Duct Intercalated Cell Type B	SLC26A4	gene
kidney-->Vessels-->Juxtaglomerular Arteriole-->Afferent Arteriole	afferent arteriole endothelial cell	CL:1001096	Afferent Arteriole Endothelial Cell	SERPINE2	gene
