ftu,table,ftu_label,as_label,ct_label,bm_label,ftu_as,as,ct,bm,bmType
https://purl.humanatlas.io/2d-ftu/kidney-descending-thin-loop-of-henle,https://purl.humanatlas.io/asct-b/kidney,kidney descending thin loop of henle,descending thin limb of loop of Henle 1,Descending Thin Limb Cell Type 1,CPE,http://purl.obolibrary.org/obo/UBERON_0001289,http://purl.obolibrary.org/obo/UBERON_0005099,http://purl.obolibrary.org/obo/CL_4030012,http://identifiers.org/hgnc/2303,gene
https://purl.humanatlas.io/2d-ftu/kidney-descending-thin-loop-of-henle,https://purl.humanatlas.io/asct-b/kidney,kidney descending thin loop of henle,descending thin limb of loop of Henle 1,Descending Thin Limb Cell Type 1,ID1,http://purl.obolibrary.org/obo/UBERON_0001289,http://purl.obolibrary.org/obo/UBERON_0005099,http://purl.obolibrary.org/obo/CL_4030012,http://identifiers.org/hgnc/5360,gene
https://purl.humanatlas.io/2d-ftu/kidney-descending-thin-loop-of-henle,https://purl.humanatlas.io/asct-b/kidney,kidney descending thin loop of henle,descending thin limb of loop of Henle 2,Descending Thin Limb Cell Type 2,TACSTD2,http://purl.obolibrary.org/obo/UBERON_0001289,http://purl.obolibrary.org/obo/UBERON_8600036,http://purl.obolibrary.org/obo/CL_4030013,http://identifiers.org/hgnc/11530,gene
https://purl.humanatlas.io/2d-ftu/kidney-descending-thin-loop-of-henle,https://purl.humanatlas.io/asct-b/kidney,kidney descending thin loop of henle,descending thin limb of loop of Henle 2,Descending Thin Limb Cell Type 2,CRYAB,http://purl.obolibrary.org/obo/UBERON_0001289,http://purl.obolibrary.org/obo/UBERON_8600036,http://purl.obolibrary.org/obo/CL_4030013,http://identifiers.org/hgnc/2389,gene
https://purl.humanatlas.io/2d-ftu/kidney-descending-thin-loop-of-henle,https://purl.humanatlas.io/asct-b/kidney,kidney descending thin loop of henle,descending thin limb of loop of Henle 2,Descending Thin Limb Cell Type 2,AQP1,http://purl.obolibrary.org/obo/UBERON_0001289,http://purl.obolibrary.org/obo/UBERON_8600036,http://purl.obolibrary.org/obo/CL_4030013,http://identifiers.org/hgnc/633,gene
https://purl.humanatlas.io/2d-ftu/kidney-descending-thin-loop-of-henle,https://purl.humanatlas.io/asct-b/kidney,kidney descending thin loop of henle,descending thin limb of loop of Henle 2,Descending Thin Limb Cell Type 2,SLC9A3,http://purl.obolibrary.org/obo/UBERON_0001289,http://purl.obolibrary.org/obo/UBERON_8600036,http://purl.obolibrary.org/obo/CL_4030013,http://identifiers.org/hgnc/11073,gene
https://purl.humanatlas.io/2d-ftu/kidney-descending-thin-loop-of-henle,https://purl.humanatlas.io/asct-b/kidney,kidney descending thin loop of henle,descending thin limb of loop of Henle 2,Descending Thin Limb Cell Type 2,SLC39A8,http://purl.obolibrary.org/obo/UBERON_0001289,http://purl.obolibrary.org/obo/UBERON_8600036,http://purl.obolibrary.org/obo/CL_4030013,http://identifiers.org/hgnc/20862,gene
https://purl.humanatlas.io/2d-ftu/kidney-descending-thin-loop-of-henle,https://purl.humanatlas.io/asct-b/kidney,kidney descending thin loop of henle,descending thin limb of loop of Henle 2,Descending Thin Limb Cell Type 2,SLC4A11,http://purl.obolibrary.org/obo/UBERON_0001289,http://purl.obolibrary.org/obo/UBERON_8600036,http://purl.obolibrary.org/obo/CL_4030013,http://identifiers.org/hgnc/16438,gene
https://purl.humanatlas.io/2d-ftu/kidney-descending-thin-loop-of-henle,https://purl.humanatlas.io/asct-b/kidney,kidney descending thin loop of henle,descending thin limb of loop of Henle 3,Descending Thin Limb Cell Type 3,SLC4A11,http://purl.obolibrary.org/obo/UBERON_0001289,http://purl.obolibrary.org/obo/UBERON_8600037,http://purl.obolibrary.org/obo/CL_4030014,http://identifiers.org/hgnc/16438,gene
https://purl.humanatlas.io/2d-ftu/kidney-descending-thin-loop-of-henle,https://purl.humanatlas.io/asct-b/kidney,kidney descending thin loop of henle,descending thin limb of loop of Henle 3,Descending Thin Limb Cell Type 3,TACSTD2,http://purl.obolibrary.org/obo/UBERON_0001289,http://purl.obolibrary.org/obo/UBERON_8600037,http://purl.obolibrary.org/obo/CL_4030014,http://identifiers.org/hgnc/11530,gene
https://purl.humanatlas.io/2d-ftu/kidney-descending-thin-loop-of-henle,https://purl.humanatlas.io/asct-b/kidney,kidney descending thin loop of henle,descending thin limb of loop of Henle 3,Descending Thin Limb Cell Type 3,CRYAB,http://purl.obolibrary.org/obo/UBERON_0001289,http://purl.obolibrary.org/obo/UBERON_8600037,http://purl.obolibrary.org/obo/CL_4030014,http://identifiers.org/hgnc/2389,gene
https://purl.humanatlas.io/2d-ftu/kidney-descending-thin-loop-of-henle,https://purl.humanatlas.io/asct-b/kidney,kidney descending thin loop of henle,descending thin limb of loop of Henle 3,Descending Thin Limb Cell Type 3,SLC14A2,http://purl.obolibrary.org/obo/UBERON_0001289,http://purl.obolibrary.org/obo/UBERON_8600037,http://purl.obolibrary.org/obo/CL_4030014,http://identifiers.org/hgnc/10919,gene
https://purl.humanatlas.io/2d-ftu/kidney-descending-thin-loop-of-henle,https://purl.humanatlas.io/asct-b/kidney,kidney descending thin loop of henle,descending thin limb of loop of Henle 3,Descending Thin Limb Cell Type 3,CLDN1,http://purl.obolibrary.org/obo/UBERON_0001289,http://purl.obolibrary.org/obo/UBERON_8600037,http://purl.obolibrary.org/obo/CL_4030014,http://identifiers.org/hgnc/2032,gene
https://purl.humanatlas.io/2d-ftu/kidney-descending-thin-loop-of-henle,https://purl.humanatlas.io/asct-b/kidney,kidney descending thin loop of henle,descending thin limb of loop of Henle 3,Descending Thin Limb Cell Type 3,SH3GL3,http://purl.obolibrary.org/obo/UBERON_0001289,http://purl.obolibrary.org/obo/UBERON_8600037,http://purl.obolibrary.org/obo/CL_4030014,http://identifiers.org/hgnc/10832,gene
https://purl.humanatlas.io/2d-ftu/kidney-descending-thin-loop-of-henle,https://purl.humanatlas.io/asct-b/kidney,kidney descending thin loop of henle,descending thin limb of loop of Henle 3,Descending Thin Limb Cell Type 3,CPE,http://purl.obolibrary.org/obo/UBERON_0001289,http://purl.obolibrary.org/obo/UBERON_8600037,http://purl.obolibrary.org/obo/CL_4030014,http://identifiers.org/hgnc/2303,gene
https://purl.humanatlas.io/2d-ftu/kidney-inner-medullary-collecting-duct,https://purl.humanatlas.io/asct-b/kidney,kidney inner medullary collecting duct,,,,http://purl.obolibrary.org/obo/UBERON_0004205,,,,
https://purl.humanatlas.io/2d-ftu/kidney-nephron,https://purl.humanatlas.io/asct-b/kidney,kidney nephron,Renal Corpuscle,Podocyte,PTPRQ,http://purl.obolibrary.org/obo/UBERON_0001285,http://purl.obolibrary.org/obo/UBERON_0001229,http://purl.obolibrary.org/obo/CL_0000653,http://identifiers.org/hgnc/9679,gene
https://purl.humanatlas.io/2d-ftu/kidney-nephron,https://purl.humanatlas.io/asct-b/kidney,kidney nephron,Renal Corpuscle,Podocyte,NPHS1,http://purl.obolibrary.org/obo/UBERON_0001285,http://purl.obolibrary.org/obo/UBERON_0001229,http://purl.obolibrary.org/obo/CL_0000653,http://identifiers.org/hgnc/7908,gene
https://purl.humanatlas.io/2d-ftu/kidney-nephron,https://purl.humanatlas.io/asct-b/kidney,kidney nephron,Renal Corpuscle,Podocyte,NPHS2,http://purl.obolibrary.org/obo/UBERON_0001285,http://purl.obolibrary.org/obo/UBERON_0001229,http://purl.obolibrary.org/obo/CL_0000653,http://identifiers.org/hgnc/13394,gene
https://purl.humanatlas.io/2d-ftu/kidney-nephron,https://purl.humanatlas.io/asct-b/kidney,kidney nephron,Renal Corpuscle,Podocyte,PODXL,http://purl.obolibrary.org/obo/UBERON_0001285,http://purl.obolibrary.org/obo/UBERON_0001229,http://purl.obolibrary.org/obo/CL_0000653,http://identifiers.org/hgnc/9171,gene
https://purl.humanatlas.io/2d-ftu/kidney-nephron,https://purl.humanatlas.io/asct-b/kidney,kidney nephron,Renal Corpuscle,Parietal Epithelial Cell,CFH,http://purl.obolibrary.org/obo/UBERON_0001285,http://purl.obolibrary.org/obo/UBERON_0001229,http://purl.obolibrary.org/obo/CL_1000452,http://identifiers.org/hgnc/4883,gene
https://purl.humanatlas.io/2d-ftu/kidney-nephron,https://purl.humanatlas.io/asct-b/kidney,kidney nephron,Renal Corpuscle,Parietal Epithelial Cell,VIM,http://purl.obolibrary.org/obo/UBERON_0001285,http://purl.obolibrary.org/obo/UBERON_0001229,http://purl.obolibrary.org/obo/CL_1000452,http://identifiers.org/hgnc/12692,protein
https://purl.humanatlas.io/2d-ftu/kidney-nephron,https://purl.humanatlas.io/asct-b/kidney,kidney nephron,Renal Corpuscle,Parietal Epithelial Cell,CRB2,http://purl.obolibrary.org/obo/UBERON_0001285,http://purl.obolibrary.org/obo/UBERON_0001229,http://purl.obolibrary.org/obo/CL_1000452,http://identifiers.org/hgnc/18688,gene
https://purl.humanatlas.io/2d-ftu/kidney-nephron,https://purl.humanatlas.io/asct-b/kidney,kidney nephron,Renal Corpuscle,Parietal Epithelial Cell,VCAM1,http://purl.obolibrary.org/obo/UBERON_0001285,http://purl.obolibrary.org/obo/UBERON_0001229,http://purl.obolibrary.org/obo/CL_1000452,http://identifiers.org/hgnc/12663,gene
https://purl.humanatlas.io/2d-ftu/kidney-nephron,https://purl.humanatlas.io/asct-b/kidney,kidney nephron,Renal Corpuscle,Parietal Epithelial Cell,ALDH1A2,http://purl.obolibrary.org/obo/UBERON_0001285,http://purl.obolibrary.org/obo/UBERON_0001229,http://purl.obolibrary.org/obo/CL_1000452,http://identifiers.org/hgnc/15472,gene
https://purl.humanatlas.io/2d-ftu/kidney-nephron,https://purl.humanatlas.io/asct-b/kidney,kidney nephron,Renal Corpuscle,Mesangial Cell,PIEZO2,http://purl.obolibrary.org/obo/UBERON_0001285,http://purl.obolibrary.org/obo/UBERON_0001229,http://purl.obolibrary.org/obo/CL_1000742,http://identifiers.org/hgnc/26270,gene
https://purl.humanatlas.io/2d-ftu/kidney-nephron,https://purl.humanatlas.io/asct-b/kidney,kidney nephron,Renal Corpuscle,Mesangial Cell,PDGFRB,http://purl.obolibrary.org/obo/UBERON_0001285,http://purl.obolibrary.org/obo/UBERON_0001229,http://purl.obolibrary.org/obo/CL_1000742,http://identifiers.org/hgnc/8804,gene
https://purl.humanatlas.io/2d-ftu/kidney-nephron,https://purl.humanatlas.io/asct-b/kidney,kidney nephron,Renal Corpuscle,Mesangial Cell,ITGA8,http://purl.obolibrary.org/obo/UBERON_0001285,http://purl.obolibrary.org/obo/UBERON_0001229,http://purl.obolibrary.org/obo/CL_1000742,http://identifiers.org/hgnc/6144,gene
https://purl.humanatlas.io/2d-ftu/kidney-nephron,https://purl.humanatlas.io/asct-b/kidney,kidney nephron,Renal Corpuscle,Mesangial Cell,ROBO1,http://purl.obolibrary.org/obo/UBERON_0001285,http://purl.obolibrary.org/obo/UBERON_0001229,http://purl.obolibrary.org/obo/CL_1000742,http://identifiers.org/hgnc/10249,gene
https://purl.humanatlas.io/2d-ftu/kidney-nephron,https://purl.humanatlas.io/asct-b/kidney,kidney nephron,Renal Corpuscle,Mesangial Cell,POSTN,http://purl.obolibrary.org/obo/UBERON_0001285,http://purl.obolibrary.org/obo/UBERON_0001229,http://purl.obolibrary.org/obo/CL_1000742,http://identifiers.org/hgnc/16953,gene
https://purl.humanatlas.io/2d-ftu/kidney-nephron,https://purl.humanatlas.io/asct-b/kidney,kidney nephron,Renal Corpuscle,Mesangial Cell,SYNPO2,http://purl.obolibrary.org/obo/UBERON_0001285,http://purl.obolibrary.org/obo/UBERON_0001229,http://purl.obolibrary.org/obo/CL_1000742,http://identifiers.org/hgnc/17732,gene
https://purl.humanatlas.io/2d-ftu/kidney-nephron,https://purl.humanatlas.io/asct-b/kidney,kidney nephron,Renal Corpuscle,Glomerular Capillary Endothelial Cell,AQP1,http://purl.obolibrary.org/obo/UBERON_0001285,http://purl.obolibrary.org/obo/UBERON_0001229,http://purl.obolibrary.org/obo/CL_1001005,http://identifiers.org/hgnc/633,gene
https://purl.humanatlas.io/2d-ftu/kidney-nephron,https://purl.humanatlas.io/asct-b/kidney,kidney nephron,Renal Corpuscle,Glomerular Capillary Endothelial Cell,EHD3,http://purl.obolibrary.org/obo/UBERON_0001285,http://purl.obolibrary.org/obo/UBERON_0001229,http://purl.obolibrary.org/obo/CL_1001005,http://identifiers.org/hgnc/3244,gene
https://purl.humanatlas.io/2d-ftu/kidney-nephron,https://purl.humanatlas.io/asct-b/kidney,kidney nephron,Renal Corpuscle,Glomerular Capillary Endothelial Cell,HECW2,http://purl.obolibrary.org/obo/UBERON_0001285,http://purl.obolibrary.org/obo/UBERON_0001229,http://purl.obolibrary.org/obo/CL_1001005,http://identifiers.org/hgnc/29853,gene
https://purl.humanatlas.io/2d-ftu/kidney-nephron,https://purl.humanatlas.io/asct-b/kidney,kidney nephron,Renal Corpuscle,Glomerular Capillary Endothelial Cell,EMCN,http://purl.obolibrary.org/obo/UBERON_0001285,http://purl.obolibrary.org/obo/UBERON_0001229,http://purl.obolibrary.org/obo/CL_1001005,http://identifiers.org/hgnc/16041,gene
https://purl.humanatlas.io/2d-ftu/kidney-nephron,https://purl.humanatlas.io/asct-b/kidney,kidney nephron,Renal Corpuscle,Glomerular Capillary Endothelial Cell,PLAT,http://purl.obolibrary.org/obo/UBERON_0001285,http://purl.obolibrary.org/obo/UBERON_0001229,http://purl.obolibrary.org/obo/CL_1001005,http://identifiers.org/hgnc/9051,gene
https://purl.humanatlas.io/2d-ftu/kidney-nephron,https://purl.humanatlas.io/asct-b/kidney,kidney nephron,Renal Corpuscle,Glomerular Capillary Endothelial Cell,FLT1,http://purl.obolibrary.org/obo/UBERON_0001285,http://purl.obolibrary.org/obo/UBERON_0001229,http://purl.obolibrary.org/obo/CL_1001005,http://identifiers.org/hgnc/3763,gene
https://purl.humanatlas.io/2d-ftu/kidney-nephron,https://purl.humanatlas.io/asct-b/kidney,kidney nephron,Renal Corpuscle,Podocyte,CLIC5,http://purl.obolibrary.org/obo/UBERON_0001285,http://purl.obolibrary.org/obo/UBERON_0001229,http://purl.obolibrary.org/obo/CL_0000653,http://identifiers.org/hgnc/13517,gene
https://purl.humanatlas.io/2d-ftu/kidney-nephron,https://purl.humanatlas.io/asct-b/kidney,kidney nephron,Renal Corpuscle,Podocyte,NTNG1,http://purl.obolibrary.org/obo/UBERON_0001285,http://purl.obolibrary.org/obo/UBERON_0001229,http://purl.obolibrary.org/obo/CL_0000653,http://identifiers.org/hgnc/23319,gene
https://purl.humanatlas.io/2d-ftu/kidney-nephron,https://purl.humanatlas.io/asct-b/kidney,kidney nephron,Tubules,Proximal Tubule Epithelial Cell,CUBN,http://purl.obolibrary.org/obo/UBERON_0001285,http://purl.obolibrary.org/obo/UBERON_0001231,http://purl.obolibrary.org/obo/CL_0002306,http://identifiers.org/hgnc/2548,gene
https://purl.humanatlas.io/2d-ftu/kidney-nephron,https://purl.humanatlas.io/asct-b/kidney,kidney nephron,Tubules,Proximal Tubule Epithelial Cell,SLC13A1,http://purl.obolibrary.org/obo/UBERON_0001285,http://purl.obolibrary.org/obo/UBERON_0001231,http://purl.obolibrary.org/obo/CL_0002306,http://identifiers.org/hgnc/10916,gene
https://purl.humanatlas.io/2d-ftu/kidney-nephron,https://purl.humanatlas.io/asct-b/kidney,kidney nephron,Tubules,Proximal Tubule Epithelial Cell,LRP2,http://purl.obolibrary.org/obo/UBERON_0001285,http://purl.obolibrary.org/obo/UBERON_0001231,http://purl.obolibrary.org/obo/CL_0002306,http://identifiers.org/hgnc/6694,gene
https://purl.humanatlas.io/2d-ftu/kidney-nephron,https://purl.humanatlas.io/asct-b/kidney,kidney nephron,Tubules,Proximal Tubule Epithelial Cell,ALDOB,http://purl.obolibrary.org/obo/UBERON_0001285,http://purl.obolibrary.org/obo/UBERON_0001231,http://purl.obolibrary.org/obo/CL_0002306,http://identifiers.org/hgnc/417,gene
https://purl.humanatlas.io/2d-ftu/kidney-nephron,https://purl.humanatlas.io/asct-b/kidney,kidney nephron,Tubules,Proximal Tubule Epithelial Cell,GATM,http://purl.obolibrary.org/obo/UBERON_0001285,http://purl.obolibrary.org/obo/UBERON_0001231,http://purl.obolibrary.org/obo/CL_0002306,http://identifiers.org/hgnc/4175,gene
https://purl.humanatlas.io/2d-ftu/kidney-nephron,https://purl.humanatlas.io/asct-b/kidney,kidney nephron,Tubules,Descending Thin Limb Cell Type 3,SLC4A11,http://purl.obolibrary.org/obo/UBERON_0001285,http://purl.obolibrary.org/obo/UBERON_0001231,http://purl.obolibrary.org/obo/CL_4030014,http://identifiers.org/hgnc/16438,gene
https://purl.humanatlas.io/2d-ftu/kidney-nephron,https://purl.humanatlas.io/asct-b/kidney,kidney nephron,Tubules,Descending Thin Limb Cell Type 3,TACSTD2,http://purl.obolibrary.org/obo/UBERON_0001285,http://purl.obolibrary.org/obo/UBERON_0001231,http://purl.obolibrary.org/obo/CL_4030014,http://identifiers.org/hgnc/11530,gene
https://purl.humanatlas.io/2d-ftu/kidney-nephron,https://purl.humanatlas.io/asct-b/kidney,kidney nephron,Tubules,Descending Thin Limb Cell Type 3,CRYAB,http://purl.obolibrary.org/obo/UBERON_0001285,http://purl.obolibrary.org/obo/UBERON_0001231,http://purl.obolibrary.org/obo/CL_4030014,http://identifiers.org/hgnc/2389,gene
https://purl.humanatlas.io/2d-ftu/kidney-nephron,https://purl.humanatlas.io/asct-b/kidney,kidney nephron,Tubules,Descending Thin Limb Cell Type 3,SLC14A2,http://purl.obolibrary.org/obo/UBERON_0001285,http://purl.obolibrary.org/obo/UBERON_0001231,http://purl.obolibrary.org/obo/CL_4030014,http://identifiers.org/hgnc/10919,gene
https://purl.humanatlas.io/2d-ftu/kidney-nephron,https://purl.humanatlas.io/asct-b/kidney,kidney nephron,Tubules,Descending Thin Limb Cell Type 3,CLDN1,http://purl.obolibrary.org/obo/UBERON_0001285,http://purl.obolibrary.org/obo/UBERON_0001231,http://purl.obolibrary.org/obo/CL_4030014,http://identifiers.org/hgnc/2032,gene
https://purl.humanatlas.io/2d-ftu/kidney-nephron,https://purl.humanatlas.io/asct-b/kidney,kidney nephron,Tubules,Descending Thin Limb Cell Type 3,SH3GL3,http://purl.obolibrary.org/obo/UBERON_0001285,http://purl.obolibrary.org/obo/UBERON_0001231,http://purl.obolibrary.org/obo/CL_4030014,http://identifiers.org/hgnc/10832,gene
https://purl.humanatlas.io/2d-ftu/kidney-nephron,https://purl.humanatlas.io/asct-b/kidney,kidney nephron,Tubules,Descending Thin Limb Cell Type 3,CPE,http://purl.obolibrary.org/obo/UBERON_0001285,http://purl.obolibrary.org/obo/UBERON_0001231,http://purl.obolibrary.org/obo/CL_4030014,http://identifiers.org/hgnc/2303,gene
https://purl.humanatlas.io/2d-ftu/kidney-nephron,https://purl.humanatlas.io/asct-b/kidney,kidney nephron,Tubules,Descending Thin Limb Cell,SPP1,http://purl.obolibrary.org/obo/UBERON_0001285,http://purl.obolibrary.org/obo/UBERON_0001231,http://purl.obolibrary.org/obo/CL_1001111,http://identifiers.org/hgnc/11255,gene
https://purl.humanatlas.io/2d-ftu/kidney-nephron,https://purl.humanatlas.io/asct-b/kidney,kidney nephron,Tubules,Descending Thin Limb Cell,CDH1,http://purl.obolibrary.org/obo/UBERON_0001285,http://purl.obolibrary.org/obo/UBERON_0001231,http://purl.obolibrary.org/obo/CL_1001111,http://identifiers.org/hgnc/1748,gene
https://purl.humanatlas.io/2d-ftu/kidney-nephron,https://purl.humanatlas.io/asct-b/kidney,kidney nephron,Tubules,Descending Thin Limb Cell,CRYAB,http://purl.obolibrary.org/obo/UBERON_0001285,http://purl.obolibrary.org/obo/UBERON_0001231,http://purl.obolibrary.org/obo/CL_1001111,http://identifiers.org/hgnc/2389,gene
https://purl.humanatlas.io/2d-ftu/kidney-nephron,https://purl.humanatlas.io/asct-b/kidney,kidney nephron,Tubules,Descending Thin Limb Cell,VIM,http://purl.obolibrary.org/obo/UBERON_0001285,http://purl.obolibrary.org/obo/UBERON_0001231,http://purl.obolibrary.org/obo/CL_1001111,http://identifiers.org/hgnc/12692,protein
https://purl.humanatlas.io/2d-ftu/kidney-nephron,https://purl.humanatlas.io/asct-b/kidney,kidney nephron,Tubules,Descending Thin Limb Cell,SATB2,http://purl.obolibrary.org/obo/UBERON_0001285,http://purl.obolibrary.org/obo/UBERON_0001231,http://purl.obolibrary.org/obo/CL_1001111,http://identifiers.org/hgnc/21637,gene
https://purl.humanatlas.io/2d-ftu/kidney-nephron,https://purl.humanatlas.io/asct-b/kidney,kidney nephron,Tubules,Descending Thin Limb Cell,VCAM1,http://purl.obolibrary.org/obo/UBERON_0001285,http://purl.obolibrary.org/obo/UBERON_0001231,http://purl.obolibrary.org/obo/CL_1001111,http://identifiers.org/hgnc/12663,gene
https://purl.humanatlas.io/2d-ftu/kidney-nephron,https://purl.humanatlas.io/asct-b/kidney,kidney nephron,Tubules,Descending Thin Limb Cell,SLC44A5,http://purl.obolibrary.org/obo/UBERON_0001285,http://purl.obolibrary.org/obo/UBERON_0001231,http://purl.obolibrary.org/obo/CL_1001111,http://identifiers.org/hgnc/28524,gene
https://purl.humanatlas.io/2d-ftu/kidney-nephron,https://purl.humanatlas.io/asct-b/kidney,kidney nephron,Tubules,Medullary Thick Ascending Limb Cell,CASR,http://purl.obolibrary.org/obo/UBERON_0001285,http://purl.obolibrary.org/obo/UBERON_0001231,http://purl.obolibrary.org/obo/CL_1001108,http://identifiers.org/hgnc/1514,gene
https://purl.humanatlas.io/2d-ftu/kidney-nephron,https://purl.humanatlas.io/asct-b/kidney,kidney nephron,Tubules,Medullary Thick Ascending Limb Cell,UMOD,http://purl.obolibrary.org/obo/UBERON_0001285,http://purl.obolibrary.org/obo/UBERON_0001231,http://purl.obolibrary.org/obo/CL_1001108,http://identifiers.org/hgnc/12559,gene
