Organ,FTU_Label,cell_label,cell_id
Liver,Liver Lobule,endothelial cell of lymphatic vessel,CL:0002138
Prostate,Prostate Glandular Acinus,pericyte,CL:0000669
Pancreas,Islet of Langerhans,capillary endothelial cell,CL:0002144
Liver,Liver Lobule,vein endothelial cell,CL:0002543
Thymus,Thymus Lobule,T cell,CL:0000084
Thymus,Thymus Lobule,CD8 T cells,CL:0000625
Lung,Alveolus of Lung,Alveolar fibroblasts,CL:4028004
Kidney,Renal Corpuscle,Ionocyte,CL:0017000
Spleen,White Pulp,Smooth muscle,CL:0000192
Thymus,Thymus Lobule,CD4 T cells,CL:0000624
Liver,Liver Lobule,Adventitial fibroblasts,CL:4028006
Small Intestine,Villus,Myofibroblasts,CL:0000186
Prostate,Prostate Glandular Acinus,Pericytes,CL:0009089
Small Intestine,Villus,B cells,CL:0000236
Small Intestine,Villus,Mast cells,CL:0000097
Small Intestine,Villus,NK cells,CL:0000623
Small Intestine,Villus,Plasma cells,CL:0000786
Thymus,Thymus Lobule,CD4 T cells,CL:0000492
Prostate,Prostate Glandular Acinus,Pericytes,CL:0000669
Thymus,Thymus Lobule,CD8 T cells,CL:0000913
Large Intestine,Crypt Of Lieberkuhn,Neuroendocrine,CL:0000165
Kidney,Renal Corpuscle,Ionocyte,CL:0005006
Spleen,Red Pulp,Hematopoietic stem cells,CL:0000037
Lung,Alveolus of Lung,type II pneumocyte,CL:0002063
Small Intestine,Villus,club cell,CL:0000158
Lung,Alveolus of Lung,type I pneumocyte,CL:0002062
Pancreas,Acinus,respiratory goblet cell,CL:0002370
Skin,Epidermal Ridge,basal cell,CL:0000646
Spleen,White Pulp,bronchial smooth muscle cell,CL:0002598
Liver,Liver Lobule,endothelial cell of artery,CL:1000413
Spleen,White Pulp,lung microvascular endothelial cell,CL:2000016
Small Intestine,Villus,adventitial cell,CL:4028006
Prostate,Prostate Glandular Acinus,vascular associated smooth muscle cell,CL:0000359
Small Intestine,Villus,dendritic cell,CL:0000451
Thymus,Thymus Lobule,blood vessel endothelial cell,CL:0000071
Kidney,Nephron,colon epithelial cell,ASCTB-TEMP:colon-epithelial-cell
Pancreas,Islet of Langerhans,Macrophages,CL:0000235
Liver,Liver Lobule,Hepatocytes,CL:0000182
Thymus,Thymus Lobule,T cells,CL:0000084
Small Intestine,Villus,Fibroblasts,CL:0000057
Skin,Dermal Papilla,Endothelial cells,CL:0000115
Small Intestine,Villus,Neutrophils,CL:0000775
Liver,Liver Lobule,hepatocyte,CL:0000182
Liver,Liver Lobule,endothelial cell of hepatic sinusoid,CL:1000398
Small Intestine,Villus,liver dendritic cell,CL:2000055
Skin,Dermal Papilla,mesothelial cell,CL:0000077
Pancreas,Islet of Langerhans,CD68+ Macrophage,ASCTB-TEMP:cd68-macrophage
Spleen,White Pulp,Smooth Muscle Cell,ASCTB-TEMP:smooth-muscle-cell
Thymus,Thymus Lobule,CD4+ T Cell,ASCTB-TEMP:cd4-t-cell
Small Intestine,Villus,Mast Cell,ASCTB-TEMP:mast-cell
Thymus,Thymus Lobule,CD8+ T Cell,ASCTB-TEMP:cd8-t-cell
Kidney,Renal Corpuscle,Basal Epithelial Cell,ASCTB-TEMP:basal-epithelial-cell
Small Intestine,Villus,B Cell,ASCTB-TEMP:b-cell
Prostate,Prostate Glandular Acinus,luminal cell of prostate epithelium,CL:0002340
Prostate,Prostate Glandular Acinus,basal cell of prostate epithelium,CL:0002341
Spleen,White Pulp,stromal cell,CL:0000499
Skin,Dermal Papilla,epithelial cell,CL:0000066
Prostate,Prostate Glandular Acinus,Pericyte_1,CL:0000669
Skin,Epidermal Ridge,Melanocyte,CL:1000458
Small Intestine,Villus,Mast_cell,CL:0000097
Skin,Epidermal Ridge,melanocyte,CL:0000148
Spleen,White Pulp,muscle cell,CL:0000187
Skin,Epidermal Ridge,Langerhans cell,CL:0000453
